
"<a href="http://developers.facebook.com/setup/" target="_bank">Register</a>","<a href="http://developers.facebook.com/setup/" target="_bank">Register</a>"
"Active","Active"
"Allow Everything","Allow Everything"
"Application ID","Application ID"
"Application Secret","Application Secret"
"Back to Form Login","Back to Form Login"
"Button image","Button image"
"Button image label","Button image label"
"Confirm Password","Confirm Password"
"Create New Account","Create New Account"
"Direction","Direction"
"Disabled","Disabled"
"Email ","Email "
"Email Address ","Email Address "
"Enabled","Enabled"
"Facebook Login Configuration","Facebook Login Configuration"
"First Name ","First Name "
"Forgot Your Password?","Forgot Your Password?"
"General Settings","General Settings"
"Header","Header"
"Last Name ","Last Name "
"Left to Right","Left to Right"
"Login","Login"
"Login by Facebook","Login by Facebook"
"Magegiant Extensions","Magegiant Extensions"
"New Password ","New Password "
"Password ","Password "
"Please enter your email below and we will send you a new password.","Please enter your email below and we will send you a new password."
"Popup left","Popup left"
"Popup top","Popup top"
"Position number","Position number"
"Right to Left","Right to Left"
"Send Password","Send Password"
"Send new password to customer","Send new password to customer"
"Send password","Send password"
"Show popup","Show popup"
"Sign in","Sign in"
"Social Login","Social Login"
"Submit","Submit"
"Support LTR and RTL direction","Support LTR and RTL direction"
"Thank you for registering with %s.","Thank you for registering with %s."
"Top menu","Top menu"
"Your app callback URI : {{your_domain}}sociallogin/fblogin/callBack","Your app callback URI : {{your_domain}}sociallogin/fblogin/callBack"
