"Revolution Slider","Revolution Slider"
"Following directories not found or not writable, please change permissions to: ","Following directories not found or not writable, please change permissions to: "
"<i class='revicon-pencil-1'></i>New Product","<i class='revicon-pencil-1'></i>New Product"
"Sliders Dashboard","Sliders Dashboard"
"Slider Settings","Slider Settings"
"Template Settings","Template Settings"
"Slides List","Slides List"
"Edit Slide","Edit Slide"
"Revolution Slider - ","Revolution Slider - "
"Css generation error: %s","Css generation error: %s"
"Next >","Next >"
"< Prev","< Prev"
Image,Image
of,of
Close,Close
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","This feature requires inline frames. You have iframes disabled or your browser does not support them."
Help,Help
"Global Settings","Global Settings"
"Revolution Sliders","Revolution Sliders"
"No Sliders Found","No Sliders Found"
"Revolution Slider Templates","Revolution Slider Templates"
"No Template Sliders Found","No Template Sliders Found"
"How To Use the Slider","How To Use the Slider"
"From the","From the"
"CMS block or page editor","CMS block or page editor"
"insert the shortcode from the sliders table","insert the shortcode from the sliders table"
"To insert Revolution Slider <b>Widget</b> in CMS editor click Insert Widget icon or button. Select <b>NWDthemes Revolution Slider</b> widget. In <b>Widget Options</b> select slider you want to insert and click <b>Insert Widget</b> button.","To insert Revolution Slider <b>Widget</b> in CMS editor click Insert Widget icon or button. Select <b>NWDthemes Revolution Slider</b> widget. In <b>Widget Options</b> select slider you want to insert and click <b>Insert Widget</b> button."
"To create Revolution Slider <b>Widget Instance</b> go to ","To create Revolution Slider <b>Widget Instance</b> go to "
"CMS > Widget","CMS > Widget"
" section page and push <b>Add New Widget Instance</b> button. Select <b>NWDthemes Revolution Slider</b> widget type, choose design package/theme and click <b>Continue</b>. Fill <b>Frontend Properties</b> form giving widget instance name, assign store views and sort order. Click <b>Add Layout Update</b> button and select pages and block you want to display widget on. Switch to <b>Widget Options</b> tab and select slider for this widget instance. Click <b>Save</b> to update widget options."," section page and push <b>Add New Widget Instance</b> button. Select <b>NWDthemes Revolution Slider</b> widget type, choose design package/theme and click <b>Continue</b>. Fill <b>Frontend Properties</b> form giving widget instance name, assign store views and sort order. Click <b>Add Layout Update</b> button and select pages and block you want to display widget on. Switch to <b>Widget Options</b> tab and select slider for this widget instance. Click <b>Save</b> to update widget options."
"XML layout","XML layout"
use,use
example,example
code,code
"Version Information","Version Information"
"Installed Version","Installed Version"
"Update History","Update History"
"Import Slider","Import Slider"
"Choose the import file","Choose the import file"
"Note: custom styles will be updated if they exist!","Note: custom styles will be updated if they exist!"
"Custom Animations:","Custom Animations:"
overwrite,overwrite
append,append
"Static Styles:","Static Styles:"
"General Settings","General Settings"
"Include RevSlider libraries globally:","Include RevSlider libraries globally:"
On,On
Off,Off
"ON - Add CSS and JS Files to all pages. </br>Off - CSS and JS Files will be only loaded on specified pages.","ON - Add CSS and JS Files to all pages. </br>Off - CSS and JS Files will be only loaded on specified pages."
"Pages to include RevSlider libraries:","Pages to include RevSlider libraries:"
"Specify the page handles that the front end includes will be included in. Example: cms_page_view,catalog_product_view","Specify the page handles that the front end includes will be included in. Example: cms_page_view,catalog_product_view"
"Enable Markup Export option:","Enable Markup Export option:"
"This will enable the option to export the Slider Markups to copy/paste it directly into websites.","This will enable the option to export the Slider Markups to copy/paste it directly into websites."
"Enable Logs:","Enable Logs:"
"Enable console logs for debugging.","Enable console logs for debugging."
Update,Update
"Add Video Layout","Add Video Layout"
"Choose video type","Choose video type"
Youtube,Youtube
Vimeo,Vimeo
HTML5,HTML5
"Enter Vimeo ID or URL","Enter Vimeo ID or URL"
"example:  30300114","example:  30300114"
"Enter Youtube ID or URL","Enter Youtube ID or URL"
"Poster Image Url","Poster Image Url"
Example,Example
"Video MP4 Url","Video MP4 Url"
"Video WEBM Url","Video WEBM Url"
"Video OGV Url","Video OGV Url"
"Video Size","Video Size"
"Full Width:","Full Width:"
Width,Width
Height,Height
Cover:,Cover:
"Dotted Overlay:","Dotted Overlay:"
none,none
"2 x 2 Black","2 x 2 Black"
"2 x 2 White","2 x 2 White"
"3 x 3 Black","3 x 3 Black"
"3 x 3 White","3 x 3 White"
"Aspect Ratio:","Aspect Ratio:"
16:9,16:9
4:3,4:3
"Video Settings","Video Settings"
Autoplay:,Autoplay:
"Loop Video:","Loop Video:"
Disable,Disable
Loop,Loop
"Loop, Slide does not stop","Loop, Slide does not stop"
"Only 1st Time:","Only 1st Time:"
"Next Slide On End:","Next Slide On End:"
"Force Rewind:","Force Rewind:"
"Hide Controls:","Hide Controls:"
Mute:,Mute:
"Disable Mobile:","Disable Mobile:"
"Video Speed:","Video Speed:"
0.25,0.25
