"Choose an Option...","Choose an Option..."
"Delete this image","Delete this image"
"Enable Images for Current Attribute","Enable Images for Current Attribute"
"Images for Attribute","Images for Attribute"
"Images Settings","Images Settings"
"Images","Images"
"Image Upload","Image Upload"
"Label Name","Label Name"
"No Image","No Image"
"Please select %s","Please select %s"
"Display Pop-Up on Mouse Hovering","Display Pop-Up on Mouse Hovering"
"Image Preview","Image Preview"
"Enable Extension","Enable Extension"
"Swatcher Image Width, px","Swatcher Image Width, px"
"Swatcher Image Height, px","Swatcher Image Height, px"
"Numerical value, Digits 0-9 are allowed only.","Numerical value, Digits 0-9 are allowed only."
"Use Swatches in Layered Navigation","Use Swatches in Layered Navigation"
