" and "," dan "
" note that the URLs provided below are the correct values for your current website): "," Untuk catatan bahwa URLs yang disediakan adalah nilai yang benar untuk Website anda): "
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Untuk jenis ""Local Server"" perlu menggunakan jalur relatif untuk instal Magento var/ekspor atau var/impor, e.g. var/expor, var/impor, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Untuk AS 2-hurup nama negara)"
"(If left empty will be auto-generated)","(Jika dibiarkan kosong akan diauto-generated)"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Termasuk negara lebih dari yang tercantum di bawah ini. Sebagai pemilik aplikasi, Anda bertanggung jawab untuk mematuhi hukum negara tertentu terkait dengan distribusi atau penjualan aplikasi Anda ke negara itu, termasuk negara asal Anda .)"
"(Leave empty for first spreadsheet)","(Biarkan kosong untuk spreadsheet pertama) "
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produk akan ditambahkan / diperbarui untuk menyimpan ini jika kolom 'toko' kosong atau hilang dalam file impor .)"
"(Shift-)Click or drag to change value","(Shift-)Klik atau geser untuk merubah nilai"
"(Starting with)","(mulai dengan)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(ketika 'Tidak', hanya bidang yang dipetakan akan diimpor. Ketika memetakan, gunakan 'kolom1', 'kolom2', dll.)"
"(You have to increase php memory_limit before changing this value)","(Anda harus meningkatkan memory_limit php sebelum mengubah nilai ini)"
"(\\t for tab)","(\\t untuk tab)"
"- Click on any of the time parts to increase it","- Klik pada setiap bagian waktu untuk memperbesar"
"- Hold mouse button on any of the above buttons for faster selection.","- Tahan tombol mouse dimanapun diatas tombol untuk pilihan lebih cepat."
"- Use the %s buttons to select month","- Gunakan %s Tomol untuk memilih bulan"
"- Use the %s, %s buttons to select year","- Gunakan %s, %s tombol untuk memilih tahun"
"- or Shift-click to decrease it","- atau Shift-klik untuk menyusutkan ini"
"- or click and drag for faster selection.","- atau klik dan geser untuk pilihan lebih cepat."
"-- Please Select Billing Agreement--","--Silakan Pilih Perjanjian Pembayaran--"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"ASCII","ASCII"
"About the calendar","Tentang Kalendar"
"Access denied.","Akses ditolak."
"Account Created in:","Akun dibuat di:"
"Account Created on (%s):","Akun dibuat pada (%s):"
"Account Created on:","Akun dibuat pada:"
"Action","Aksi"
"Actions","Aksi"
"Activate","Aktivasi"
"Add Contents Path","tambah jalur konten"
"Add Field with URL:","Tambah bidang dengan URL:"
"Add New Role","Tambah Role Baru"
"Add New User","Tambah Pengguna baru"
"Add PHP Extension dependency","Tambah depedensi ekstensi PHP"
"Add Package dependency","Tambah depedensi paket"
"Add to Cart","Tambah ke Keranjang"
"Add to Wishlist","Tambah ke Daftar keinginan"
"Address Type:","Jenis Alamat:"
"AirMail Template Preview","Tambahkan Template AirMail"
"All","Semua"
"All Websites","Semua Website"
"All fields","Semua field"
"All locations","Semua Lokasi"
"Archive file name:","Arsip nama file:"
"Are you sure that you want to delete this template?","Apakah anda yakin ingin menghapus template ini?"
"Are you sure that you want to strip tags?","Apakah Anda yakin bahwa Anda ingin strip tag?"
"Are you sure you want to delete this theme? This change will affect all applications.","Anda yakin ingin menghapus theme ini? Ini akan mempengaruhi semua aplikasi."
"As low as:","Serendahnya:"
"Attribute Set Name:","Menetapkan nama atribut:"
"Attributes","Atribut"
"Authors","Penulis"
"Available Products","Produk yang tersedia"
"BINARY","BINARI"
"Back","Kembali"
"Big Image","Gambar besar"
"Billing Address","Alamat Tagihan"
"Billing Agreement","Perjanjian Tagihan"
"Bundle Items","Menggabungkan Item"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Menggabungkan dengan harga dinamis tidak dapat menyertakan pilihan khusus ditentukan. Pilihan tidak akan disimpan "";.;"
"CSV / Tab separated","CSV / Tab dipisahkan"
"Cancel","Batal"
"Cancel URL: ","Batalkan URL: "
"Card Verification Number","Nomor Verifikasi Kartu"
"Carrier","Pengangkut"
"Catalog","Katalog"
"Chairs","Kursi"
"Change Orientation","Ubah orientasi"
"Channel","Saluran"
"Child Transactions","Transaksi Anak-anak"
"Choose Store View","Pilih Tampilan Foto"
"Choose a selection...","Pilih Pilihan..."
"Clear","Bersihkan"
"Client Session Timeout (sec.)","Sesi Klien Waktu habis (Bag.)"
"Close","Tutup"
"Confirmed email:","Email yang dikonfirmasi:"
"Connect with the Magento Community","Hubungkan dengan Komunitas Magento"
"Contents","Isi"
"Continue","Lanjutkan"
"Country:","Negara:"
"Created At","Dibuat pada"
"Credit Card %s","Kartu Kredit %s"
"Credit Card Number","Nomor Kartu Kredit"
"Credit Card Number: xxxx-%s","Nomor Kartu Kredit: xxxx-%s"
"Credit Card Type","Jenis Kartu Kredit"
"Credit Card Type: %s","Tipe Kartu Kredit: %s"
"Credit Memo History","Riwayat Memo Kredit"
"Credit Memo Totals","Total Kredit Memo"
"Current Configuration Scope:","Konfigurasi jangkauan saat ini:"
"Custom","Khusus"
"Customer","Pelanggan"
"Customer Group:","Grup Pelanggan:"
"Customer Since:","Pelanggan sejak:"
"Customers","Pelanggan"
"DHTML Date/Time Selector","DHTML Tanggal/Pemilih waktu"
"Dashboard","Panel kontrol"
"Data Format","Format Tanggal"
"Data transfer:","Transfer Data:"
"Date selection:","Seleksi Tanggal:"
"Date selector","Seleksi Tanggal"
"Decimal separator:","Pemisah Tanggal:"
"Default (Admin) Values","Standar (Admin) Nilai"
"Default Billing Address","Alamat Tagihan Standar"
"Default Response Charset","Respon standar Charset"
"Default Values","Nilai Standar"
"Delete","Hapus"
"Delete theme","Delete theme"
"Deselect All","Hapus semua"
"Direction:","Petunjuk:"
"Display %s first","Tampilan %s Pertama"
"Distributed under GNU LGPL. See %s for details.","Didistribusikan dibawah GNU LGPL. Lihat %s Untuk rincian."
"Do not enable AVS or CSC options.  They do not work when using Payflow Link Silent Mode.","Jangan aktifkan opsi AVS atau CSC. Kedua hal tersebut tidak akan berfungsi ketika menggunakan Link Payflow mode diam."
"Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout.","Jangan mengatur bidang dalam Penagihan dan memblokir Pengiriman Informasi sebagaimana disunting di akun Payflow Anda "";.;"
"Drag to move","Geser untuk memindahkan"
"Edit Filter","  Sunting filter"
"Edit Role","Sunting  Role"
"Edit User '%s'","Sunting pengguna '%s'"
"Email","Email"
"Email Preview","Tinjauan Email"
"Email:","Email:"
"Enable Secure Token:","Aktifkan keamanan Token:"
"Enclose Values In:","dicantumkan nilai dalam:"
"Entity Attributes","Atribut Entitas"
"Entity type:","Jenis Entitas:"
"Excl. Tax","Tidak termasuk pajak"
"Expiration Date","Tanggal kadaluarsa"
"Expiration Date: %s/%s","Tanggal kadaluarsa: %s/%s"
"Export","Ekspor"
"Export Filters","Ekspor filter"
"Export to:","Ekspor ke:"
"Export:","Ekspor:"
"Extension","Ekstensi"
"Extensions","Ekstensi"
"FILTERS APPLIED","FILTER DITERAPKAN"
"FTP Host[:Port]","FTP Host[:Port]"
"Field Mapping","Field Mapping"
"File Information","Informasi file"
"File mode","Mode file"
"File name:","Nama file:"
"Files","Files"
"Finished profile execution.","Menyelesaikan eksekusi profil."
"First Name:","Nama Awal:"
"For latest version visit: %s","Untuk versi terbaru kunjungi: %s"
"From","Dari"
"General Information","General Information"
"General Settings","Pengaturan umum"
"Get help for this page","Dapatkan bantuan untuk halaman ini"
"Global Record Search","Pencari Global"
"Go Today","Menuju hari ini"
"Go to messages inbox","Menuju kotak masuk pesan"
"Go to notifications","Menuju notifikasi"
"Google Base Items","Barang dasar Google"
"Group:","Grup:"
"Help Us Keep Magento Healthy - Report All Bugs","Tolong kami untuk tetap menjaga Magento tetap sehat - Laporkan semua Bug"
"Home","Beranda"
"If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website.","Jika Magento Anda misalnya digunakan untuk beberapa situs Web, Anda harus mengkonfigurasi  Tautan akun Payflow terpisah untuk setiap situs Web."
"Ignore","Abaikan"
"Images","Gambar"
"Import","Impor"
"Import Service","Impor layanan"
"Important: ","Penting: "
"In Database:","Dalam Database:"
"In File:","Dalam file:"
"In Stock","Dalam Stok"
"Inactive Tabs","Tab tidak aktif"
"Incl. Tax","Termasuk pajak"
"Include","Termasuk"
"Interactive","Interaktif"
"Interface Locale: %s","Antarmuka lokal: %s"
"Invalid webservice adapter specified.","Adapter webservice tidak valid ditentukan."
"Invalid webservice handler specified.","Handler webservice tidak valid ditentukan."
"Invoice History","Riwayat Faktur"
"Invoice Totals","Total Faktur"
"Is Closed","Ditutup"
"Issue Number","Nomor terbit"
"Issuer: %s","Penerbit: %s"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS Cache"
"Last 5 Orders","5 pesanan terakhir"
"Last 5 Search Terms","5 pencarian barang terakhir"
"Last Logged In (%s):","Terakhir kali masuk (%s):"
"Last Logged In:","Terakhir kali masuk pada:"
"Last Name:","Nama akhir:"
"Latest Message:","Pesan terbaru:"
"Leave empty to use tax identifier","Biarkan kosong untuk menggunakan pengenal pajak"
"Links with associated products will retain only after saving current product.","Tautan dengan produk-produk terkait akan bertahan hanya setelah menyimpan produk saat ini "";.;"
"Loading Preview...","Memuat tinjauan..."
"Loading...","Memuat..."
"Local Server","server lokal"
"Local/Remote Server","Lokal/Server Jarak jauh"
"Log In","masuk"
"Log Out","keluar"
"Logged in as %s","Masuk sebagai %s"
"MS Excel XML","MS Excel XML"
"Magento Core API","Magento Core API"
"Magento Core API Section","Bagian Magento Core API"
"Magento Logo","Logo Magento"
"Magento ver. %s","Ver Magento. %s"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento&trade; adalah merk dagang dari Magento Inc.<br/>Copyright &copy; %s Magento Inc."
"Main Tabs","Tab Utama"
"Make Inactive","Buat tidak aktif"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Pastikan bahwa data encoding dalam file tersebut konsisten dan disimpan dalam satu pengkodean encoding pendukung (UTF-8 or ANSI)."
"Make sure that you configure the design settings for the Payflow Link form in your Payflow link account.","Pastikan bahwa Anda mengkonfigurasi pengaturan desain untuk bentuk Tautan Payflow di akun tautan payflow."
"Manage Stores","Kelola Toko"
"Max","Maksimum"
"Min","Min"
"More Tabs","Lebih Tab"
"N/A","N/A"
"Name","Nama"
"Name on Card","Nama pada kartu"
"Name on the Card: %s","Nama pada kartu: %s"
"Name:","Nama:"
"Next month (hold for menu)","Bulan depan (Tahan untuk menu)"
"Next page","Halaman berikut nya"
"Next year (hold for menu)","Tahun berikut nya (tahan untuk menu)"
"No","Tidak"
"No Data Found","Data tidak ditemukan"
"No information available.","Tidak ada informasi tersedia."
"No profile loaded...","Tidak ada profil dimuat..."
"No search keywords.","Tidak ada kata kunci pencarian."
"None","None"
"Note:","Catatan:"
"Number of records:","Jumlah Catatan:"
"Old rate:","Harga Lama:"
"On my website","Di situs saya"
"Once you log into your Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Setelah Anda login ke akun Payflow Link Anda, arahkan ke Pengaturan Layanan - Hosted Halaman Checkout - Setel menu dan mengatur pilihan dijelaskan di bawah "
"Only custom theme can be deleted","Hanya theme custom dapat dihapus"
"Only default theme can be reset","Hanya theme default dapat direset"
"Only mapped fields","Hanya bidang yang dipetakan"
"Options menu items","Opsi menu barang"
"Order ID","ID Pesanan"
"Order cannot be placed.","Order cannot be placed."
"Original Magento attribute names in first row:","Nama atribut magento asli dalam baris pertama"
"Out of stock","Kehabisan Stok"
"Package","Paket"
"Packages","Paket"
"Page","Halaman"
"Parent Transaction ID","Parent Transaction ID"
"Passive mode","Mode Pasif"
"Password","Kata Sandi"
"Path","Jalur"
"Path:","Jalur:"
"Personal Information","Informasi Pribadi"
"Phone:","Telepon:"
"Please Select","Silakan Pilih"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Silakan konfirmasi ketika beralih situs. Semua data yang sudah/belum disimpan akan hilang."
"Please continue with placing order.","Silakan lanjutkan ketika menempatkan order."
"Please enter 6 or more characters.","Tolong masukan 6 atau lebih karakter."
"Please enter a number greater than 0 in this field.","Tolong masukan nomer yang lebih besar dari 0 dibidang ini."
"Please enter a valid $ amount. For example $100.00.","Tolong masukan jumlah $ yang benar. Contohnya $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Silakan masukan URL yang valid. Sebagai contoh http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","Silakan masukan URL yang valid. http:// dibutuhkan"
"Please enter a valid credit card number.","Silakan masukan nomor kartu kredit yang valid."
"Please enter a valid date.","silakan masukan tanggal yang valid."
"Please enter a valid email address. For example johndoe@domain.com.","Silakan masukan alamat email yang valid. Sebagai contoh johndoe@domain.com."
"Please enter a valid number in this field.","Silakan masukan nomor yang valid pada bidang ini."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Silakan masukan nomor telepon yang valid. Sebagai contoh (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Silakan masukan ke amanan sosial yang valid. Sebagai contoh 123-45-6789."
"Please enter a valid value from list","Silakan masukan nilai yang valid dari daftar"
"Please enter a valid value, ex: 10,20,30","Silakan masukan nilai yang valid, contoh: 10,20,30"
"Please enter a valid zip code.","Silakan masukan kode pos yang valid."
