"--Please Select--","--silakan pilih--"
"API Login ID","ID masuk API"
"Accepted Currency","Mata uang yang diterima"
"Authorize.net Direct Post","Authorize.net Langsung kirim"
"Card Verification Number","Nomor verifikasi kartu"
"Card Verification Number Visual Reference","Kartu Verifikasi Visual Nomor Referensi"
"Close","Tutup"
"Credit Card Information","Informasi kartu kredit"
"Credit Card Number","Nomor kartu kredit"
"Credit Card Type","Jenis kartu kredit"
"Credit Card Types","Jenis kartu kredit"
"Credit Card Verification","Verifikasi kartu kredit"
"Debug","Debug"
"Email Customer","Email pelanggan"
"Enabled","Aktif"
"Expiration Date","Tanggal kadaluarsa"
"Gateway URL","Gateway URL"
"Maximum Order Total","Total pesanan Maksimum"
"Merchant MD5","Penjual MD5"
"Merchant's Email","Email penjual"
"Minimum Order Total","Total pesanan minimum"
"New Order Status","Status pesanan baru"
"Order saving error: %s","Menyimpan Order error: %s"
"Payment Action","Aksi pembayaran"
"Payment authorization error.","Error otorisasi pembayaran."
"Payment authorization error. Transacion id is empty.","Error otorisasi pembayaran. Id transaksi kosong."
"Payment error. Order was not found.","Error pembayaran. Pesanan tidak ditemukan"
"Payment error. Paid amount doesn\'t match the order amount.","Pembayaran Error.Jumlah yang dibayar tidak cocok dengan jumlah pesanan."" "
"Payment from Applicable Countries","Pembayaran dari Negara terkait"
"Payment from Specific Countries","Pembayaran dari negara tertentu"
"Please, choose payment method","Silakan, pilih metode pembayaran"
"Response hash validation failed. Transaction declined.","Respon hash gagal validasi. Transaksi ditolak."
"Sort Order","Jenis Pesanan"
"Test Mode","Mode tes"
"The order has been created.","Pesanan telah dibuat"
"There was an error processing your order. Please contact us or try again later.","Terjadi Error saat memproses pesanan Anda. Silahkan hubungi kami atau coba lagi nanti."
"Title","Judul"
"Transaction Key","Kunci transaksi"
"What is this?","Apa ini?"
"You will be required to enter your payment details before you place an order.","Anda akan diminta untuk memasukan rincian pembayaran Anda sebelum Anda memesan."
