"%s and greater","%s dan lebih besar"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d barang </strong> ditemukan dengan menggunakan kriteria pencarian berikut"
"Advanced Search","Pencarian Lanjutan"
"Advanced Search Form","Form Pencarian tingkat lanjut"
"Advanced Search Result","Hasil Pencarian Tingkat Lanjut"
"All","Semua"
"Applies for ""Like"" search type only.","Terapkan untuk ""Suka"" Cari hanya tipe."
"Apply Layered Navigation if Search Results are Less Than","Terapkan Navigasi berlapis jika hasil pencarian kurang dari"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Pengaturan atribut berubah berhubungan dengan indeks pencarian. Silakan Jalankan <a href=""%s"">Indeks pencarian dibangun ulang </a> proses."
"Autogenerated Site Map","Autogenerated Site Map"
"Catalog Advanced Search","Pencarian Lanjut dari Katalog"
"Catalog Search","Pencarian katalog"
"Catalog Search Index","Katalog pencarian Index"
"Don't see what you're looking for?","Tidak melihat apa yang Anda cari?"
"Enter ""0"" to enable layered navigation for any number of results.","Masukan ""0"" untuk mengaktifkan navigasi berlapis untuk sejumlah hasil."
"Go","Ke"
"Go to Home Page","Kembali ke Beranda"
"Grid","grid"
"Home","Beranda"
"List","Daftar"
"Maximum Query Length","Maksimum panjang pertanyaan"
"Maximum Query Words Count","Maksimum hitungan kata pertanyaan"
"Maximum Search query  length is %s. Your query was cut.","Pencarian panjang permintaan maksimum adalah %s. Pertanyaan Anda dipotong."
"Minimal Query Length","Minimum panjang pertanyaan"
"Minimum Search query length is %s","Minimum panjang query pencarian adalah %s"
"Modify your search","Ubah pencarian Anda"
"No","Tidak"
"No items were found using the following search criteria.","Tidak ada item yang ditemukan dengan menggunakan kriteria pencarian berikut."
"Please specify at least one search term.","Silakan tentukan sekurangnya satu dari syarat pencarian."
"Popular Search Terms","Kata Kunci Populer"
"Quick Search Form","Form Pencarian Cepat"
"Rebuild Catalog product fulltext search index","Produk katalog dibangun ulang fulltext indeks pencarian"
"Relevance","Relevan"
"Results","Hasil"
"Search","Cari"
"Search Settings","Setelan Pencarian"
"Search Terms","Kata Kunci Populer"
"Search Type","Tipe Pencarian"
"Search entire store here...","Cari nama/jenis produk, atau kata kunci lain"
"Search results for '%s'","Hasil pencarian untuk '%s'"
"Search results for: '%s'","Hasil pencarian untuk:'%s'"
"Search:","Cari:"
"Specified date is invalid.","Tanggal yang ditentukan tidak valid."
"Subscribe to Feed","Berlangganan ke feed"
"There are no search terms available.","Barang yang dicari tidak tersedia"
"Yes","ya"
"Your search returns no results.","Hasil pencarian anda tidak ada."
"up to %s","Sampai %s"
