"%s was added to your shopping cart.","%s ditambahkan pada cart Anda."
"%s was updated in your shopping cart.","%s diperbarui pada cart Anda."
"* Required Fields","* Dibutuhkan field"
"Add New Address","Tambahkan alamat baru"
"Add New Condition","Tambahkan kondisi baru"
"Add coupon code for shopping cart","Tambahakan kode kupon untuk cart"
"Add gift messages to shopping cart","Tambahkan pesan hadiah untuk cart"
"Add product to shopping cart","Tambahkan produk ke cart"
"Add product(s) to shopping cart","Tambahkan produk ke cart"
"Add to Cart","Tambahkan ke keranjang"
"Add to Compare","Tambahkan ke perbandingan"
"Add to Wishlist","Tambahkan ke daftar yang diinginkan"
"Additional Product Info","Info produk tambahan"
"Address","Alamat"
"Address %s of %s","Alamat %s dari%s"
"After Adding a Product Redirect to Shopping Cart","Setelah menambahkan sebuah produk akan langsung dihubungkan pada keranjang belanja"
"Allow Guest Checkout","Ijinkan Checkout tamu"
"Already registered?","Sudah terdaftar?"
"An error occurred in the process of payment","error terjadi pada saat proses pembayaran"
"An error occurred while deleting this condition.","Error terjadi ketika menghapus kondisi ini."
"An error occurred while saving this condition.","Error terjadi ketika menyimpan kondisi ini."
"Apply Coupon","berlaku Kupon"
"Are you sure you would like to remove this item from the shopping cart?","Apakah Anda yakin ingin menghapus item ini dari keranjang belanja?"
"Back","Kembali"
"Back to Billing Information","Kembali ke informasi tagihan"
"Back to Select Addresses","Kembali untuk memilih alamat"
"Back to Shipping Information","Kembali ke informasi pengiriman"
"Back to Shopping Cart","Kembali kekernjang belanja"
"Based on your selection, you may be interested in the following items:","Berdasarkan pilihan Anda, Anda mungkin tertarik pada item dibawah ini:"
"Billing Address","Alamat tagihan"
"Billing Information","Informasi tagihan"
"Billing Information - %s","Informasi tagihan - %s"
"Cancel Coupon","Kupon pembatalan"
"Cannot add item to the shopping cart.","Tidak dapat menambahkan item ke keranjang belanja"
"Cannot add the item to shopping cart","Tidak dapat menambahkan item ke keranjang belanja"
"Cannot add the item to shopping cart.","Tidak dapat menambahkan item ke keranjang belanja"
"Cannot apply the coupon code.","Tidak dapat menerapkan kode kupon."
"Cannot configure product.","Tidak dapat mengkonfigurasi produk"
"Cannot open the overview page","Tidak dapat membuka halaman ikhtisar"
"Cannot process the item.","Tidak dapat memproses barang"
