"Collected Files Count","file yang dikumpulkan dihitung"
"Compilation","Kompilasi"
"Compilation State","Keadaan Kompilasi"
"Compilation error","Kompilasi eror"
"Compiled","Dikompilasi"
"Compiled Scopes Count","Lingkup menghitung dikompilasi"
"Compiler Status","Status Kompilator"
"Compiler include path is disabled.","Kompilator termasuk jalur tidak aktif."
"Compiler include path is enabled.","Kompilator termasuk jalur aktif."
"Directory ""%s"" must be writeable","Direktori ""%s"" harus dapat ditulisi"
"Disable","Menonaktifkan"
"Disabled","Menonaktifkan"
"Enable","Mengaktifkan"
"Enabled","Mengaktifkan"
"File ""%s"" must be writeable","Berkas ""%s"" harus dapat ditulisi"
"Not Compiled","Tidak Dikompilasi"
"Run Compilation Process","Jalankan Proses Kompilasi"
"Scopes Compilation Settings","Lingkup pengaturan kompilasi"
"System","Sistem"
"The compilation has completed.","kompilasi telah selesai."
"Tools","Alat"
