"1.5.0.0 & later","1.5.0.0 & kemudian"
"Action","Aksi"
"Add Author","Tambah Penulis"
"Add Contents Path","Tambah Jalur konten"
"Add PHP Extension dependency","Tambah Depedensi Ekstensi PHP"
"Add Package dependency","Tambah Paket Depedensi"
"Add files","Tambah file"
"Authors","Penulis"
"Channel","Saluran"
"Contents","Isi"
"Create Extension Package","Membuat Paket Ekstensi"
"Dependencies","Depedensi"
"Description","Deskripsi"
"Edit Extension","Edit Ekstensi"
"Email","Email"
"Extension","Ekstensi"
"Extensions","Ekstensi"
"Failed to create the package.","Gagal untuk membuat paket."
"Failed to load the package data.","Gagal untuk memuat paket data."
"Failed to save the package.","Gagal untuk menyimpan data."
"Files","file"
"Folder","Folder"
"Ignore","Abaikan"
"Include","Termasuk"
"License","Lisensi"
"License URI","Lisensi URI"
"Load Local Package","Memuat Paket Lokal"
"Load local Package","Memuat Paket Lokal"
"Magento Connect","Koneksi Magento"
"Magento Connect Manager","Mengelola Koneksi Magento"
"Max","Maks"
"Maximum","Maksimum"
"Min","Min"
"Minimum","Minimum"
"Name","Nama"
"New Extension","Ekstensi Baru"
"PHP Version","Versi PHP"
"Package","Paket"
"Package Extensions","Ekstensi Paket"
"Package File Name","Paket Nama file"
"Package Info","Info Paket"
"Packages","Paket"
"Path","Jalan"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","Info Rilis"
"Remove","Menghapus"
"Save As...","Simpan sebagai..."
"Save Data and Create Package","Simpan Data dan Membuat Paket"
"Save package with custom package file name","Simpan paket dengan nama file paket pesanan"
"Summary","Ringkasan"
"Supported releases","Didukung rilis"
"System","Sistem"
"Target","Target"
"The package %s data has been loaded.","Paket %s data telah dimuat."
"The package data has been saved.","Paket data telah disimpan."
"There was a problem saving package data","Ada masalah menyimpan data paket"
"Type","Jenis"
"User","Pengguna"
