"%s","%s"
"%s already exist.","%s Sudah ada."
"%s already exists.","%s Sudah ada."
"-- Please Select --","--Silakan pilih--"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Peringatan!</strong> ketika menggunakan CDN,dalam beberapa kasus JavaScript mungkin tidak berjalan dengan baik jika CDN tidak dalam subdomain anda"
"A category object is required for determining the product request path.","Sebuah objek diperlukan untuk kategori menentukan jalur permintaan produk."
"Add Block Names to Hints","Tambahkan blok nama untuk petunjuk"
"Add Secret Key to URLs","Tambahkan kunci rahasia ke URLs"
"Add Store Code to Urls","Tambahkan kode toko ke URLs"
"Admin","Admin"
"Admin Base URL","Admin Berdasarkan URL"
"Admin User Emails","Admin Email Pengguna"
"Advanced","Lanjutan"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete."
"Allow Countries","Ijinkan negara"
"Allow Symlinks","Diperbolehkan symlink"
"Allowed IPs (comma separated)","Diperbolehkan IPs (dipisahkan koma)"
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","Diizinkan Jenis file: ICO, PNG, GIF, JPEG, APNG, SVG. Tidak semua browser mendukung semua format ini!"
"Allows customers to stay logged in when switching between different stores.","Memungkinkan pelanggan untuk tetap masuk bila beralih diantara toko yang berbeda."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternatif teks untuk link berikutnya di menu nomor halaman. Jika kosong, standar gambar panah akan digunakan."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternatif teks untuk link sebelumnya dalam menu nomor halaman. Jika kosong, standar gambar panah akan digunakan."
"An error occurred while saving. Please review the error log.","Terjadi error saat menyimpan. Harap tinjau log kesalahan."
"Anchor Text for Next","anchor Teks untuk Selanjutnya"
"Anchor Text for Previous","anchor Teks untuk Sebelumnya"
"Anchor symbol (#) is not supported in request path","anchor simbol (#) tidak didukung di jalur permintaan"
"Anchor symbol (#) is not supported in url rewrite suffix","anchor symbol (#) tidak di dukung dalam akhiran penulisan ulang url"
"Are you sure?","Apakah Anda yakin?"
"Auto-redirect to Base URL","Otomatis mengarahkan ke URL Dasar"
"Back","Kembali"
"Backup Options","Pilihan Cadangan"
"Base JavaScript URL","Dasar URL JavaScript"
"Base Link URL","Tautan dasar URL"
"Base Media URL","Media Dasar URL"
"Base Skin URL","Lapisan Dasar URL"
"Base URL","Dasar URL"
"Before modifying the store view code please make sure that it is not used in index.php.","Sebelum memodifikasi kode tampilan toko pastikan bahwa itu tidak digunakan dalam index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Sebelum memodifikasi kode situs Web pastikan bahwa itu tidak digunakan dalam index.php."
"Block with name ""%s"" already exists","Blok dengan nama ""% s"" sudah ada"
"Browser Capabilities Detection","Deteksi Kemampuan Browser"
"CSS Settings","pengaturan CSS"
"Cache Storage Management","Pengaturan penyimpanan Cache"
"Cache storage may contain additional data. Are you sure that you want flush it?","Penyimpanan cache dapat berisi data tambahan. Apakah Anda yakin bahwa Anda ingin mengaliri nya?"
"Can not create invoice. Order was not found.","Tidak dapat membuat faktur. Pesanan tidak ditemukan."
"Can't retrieve request object","Tidak dapat mengambil objek permintaan"
"Can\'t retrieve entity config: %s","Dapat /tidak dapat mengambil konfigurasi entitas: %s"
"Cancel","Batal"
"Cannot complete this operation from non-admin area.","Tidak dapat menyelesaikan operasi ini dari daerah non-admin."
"Card type does not match credit card number.","Jenis kartu tidak mencocokkan nomor kartu kredit."
"Code","Kode"
"Controller file was loaded but class does not exist","Pengontrol file telah dimuat tapi tingkat tidak ada"
"Cookie Domain","Domain Cookie"
"Cookie Lifetime","Masa Cookie"
"Cookie Path","Jalur Cookie"
"Copyright","Hak cipta"
"Countries Options","Countries Options"
"Create Store","Membuat toko"
"Create Store View","Membuat Tampilan Toko"
"Create Website","Membuat situs"
"Credit card number does not match credit card type.","Nomor kartu kredit tidak sesuai jenis kartu kredit."
"Current Package Name","Nama Paket Saat ini"
"Custom Admin Path","Custom Admin Path"
"Custom Design","Desain khusus"
"Custom Email 1","Email Khususs 1"
"Custom Email 2","Email Khusus 2"
"Custom Variables","Variabel khusus"
"Customer Support","Dukungan Pelanggan"
"Dashboard","Papan Instrumen"
"Date From","Tanggal dari"
"Date To","Tanggal ke"
"Date/time format ""%s"" is not supported.","Format Tanggal/waktu ""%s"" tidak didukung."
"Debug","men-debug"
"Default","Standar"
"Default Country","Default Country"
"Default Description","Deskripsi standar"
"Default Keywords","Kata sandi standar"
"Default No-route URL","Standar No-route URL"
"Default Pages","Halaman Standar"
"Default Robots","Robot standar"
"Default Store","Toko standar"
"Default Store View","Tampilan standar toko"
"Default Title","Judul standar"
"Default Web URL","Default Web URL"
"Delete","Hapus"
"Delete Store","Hapus Toko"
"Delete Store View","Hapus Tampilan toko"
"Delete Website","Haspus situs"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Menghapus sebuah %1$s akan menghapus informasi yang tergabung dengan  %1$s (c.o. kategori, produk, dll.), tapi %1$s tidak akan bisa di restore. Disarankan Anda membuat database backup sebelum menghapus %1$s."
"Design","Desain"
"Design Change","Perubahan desain"
"Developer","Pengembang"
"Developer Client Restrictions","Pembatasan Pengembang klien"
"Disable Email Communications","Nonaktifkan komunikasi Email"
"Disable Modules Output","Nonaktifkan Modul Output"
"Display Demo Store Notice","Catatan Tampilan Demo Toko"
"Duplicate Of Template Name","Duplikat dari nama Template"
"Edit Design Change","Sunting perubahan desain"
"Edit Store","Sunting toko"
"Edit Store View","Sunting tampilan toko"
"Edit Website","Sunting situs"
"Empty identifier field name","Nama field pengenal kosong"
"Empty main table name","Nama meja utama kosong"
"Enable Charts","Aktifkan Diagram"
"Enabled","Aktifkan"
"Enabled for Admin","Aktifkan untuk Admin"
"Enabled for Frontend","Aktifkan untuk antar muka"
"Environment Update Time","Perbaruan waktu lingkungan"
"Error in file: ""%s"" - %s","error pada file: ""%s"" - %s"
"Error: Passwords do not match","error: Kata santi tidak sesuai"
"Exceptions Log File Name","Pengecualian log file nama"
"Favicon Icon","Ikon Favicon"
"File %s does not exist","file %s tidak ada"
"File %s is not readable","file %s tidak dapat dibaca"
"File system","Sistem file"
"First Day of Week","Hari pertama dari sepekan"
"Flush Cache Storage","Flush Cache Storage"
"Flush Magento Cache","Flush Magento Cache"
"Footer","catatan kaki"
"Forgot Password Email Sender","Lupa Kata sandi Pengirim Email"
"Forgot Password Email Template","Lupa kata sandi template email"
"General","Umum"
"General Contact","General Contact"
"General Settings","Pengaturan umum"
"Global","Umum"
"HTML Head","Kepala HTML"
"Header","Judul standar"
"Host","Host"
"How many links to display at once.","Berapa banyak link untuk menampilkan sekaligus."
"ID Path for Specified Store","Jalur ID untuk toko yang ditentukan"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Jika posisi bingkai saat ini tidak mencakup halaman maksimal, akan membuat link ke posisi saat ini ditambah / dikurangi nilai ini."
"Incorrect credit card expiration date.","Tanggal kadaluarsa kartu kredit tidak benar"
"Input type ""%value%"" not found in the input types list.","Masukan tipe""%Nilai%"" tidak ditemukan dalam daftar jenis masukan."
"Invalid base url type","Tipe url dasar tidak valid"
"Invalid block name to set child %s: %s","Nama blok tidak valid untuk mengatur seorang anak %s: %s"
"Invalid block type: %s","Tipe blok tidak valid: %s"
"Invalid block: %s","blok tidak valid: %s"
"Invalid connection","Invalid connection"
"Invalid layout update handle","Penanganan perbaruan tampilan tidak valid"
"Invalid messages storage ""%s"" for layout messages initialization","Penyimpanan pesan tidak valid ""% s"" untuk inisialisasi tata letak pesan"
"Invalid query","Invalid query"
"Invalid transactional email code: ","Kode email transaksi tidak valid:"
"Invalid website\'s configuration path: %s","Website tidak valid konfigurasi path: %s"
"JavaScript Settings","JavaScript Settings"
"Layout","Tampilan"
"Leave empty for access from any location.","Biarkan kosong untuk akses dari berbagai lokasi."
"Locale","lokal"
"Locale Options","Opsi lokal"
"Log Settings","Pengaturan log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Masuk dari Mage::log(). File ditempatkan dalam {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Masuk dari Mage::logException(). File ditempatkan dalam {{base_dir}}/var/log"
"Login is Case Sensitive","Login adalah Case Sensitive"
"Logo Image Alt","Alternatif gambar logo"
"Logo Image Src","Src gambar logo"
"Mail Sending Settings","Pengaturan pengiriman Surat"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Pastikan bahwa base URL diakhiri dengan '/' (slash), c.o. http://domain anda/magento/"
"Manage Stores","Kelola toko"
