"'%value%' appears to be a DNS hostname but cannot extract TLD part","%nilai%' tampaknya menjadi nama host DNS tetapi tidak dapat mengekstrak bagian TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","%nilai%'tampaknya menjadi nama host DNS tetapi tidak bisa cocok TLD terhadap daftar yang dikenal"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","%nilai%' tampaknya menjadi nama host DNS tetapi tidak bisa cocok terhadap skema nama host untuk TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","%nilai%' tampaknya menjadi nama host DNS tetapi mengandung tanda hubung dalam posisi tidak valid"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","%nilai%' tampaknya menjadi nama host DNS tetapi notasi Punycode yang diberikan tidak dapat diterjemahkan"
"'%value%' appears to be a local network name but local network names are not allowed","%nilai%' tampaknya menjadi nama jaringan lokal tetapi nama jaringan lokal tidak diperbolehkan"
"'%value%' appears to be an IP address, but IP addresses are not allowed","""%value%'tampaknya menjadi alamat IP, tapi alamat IP tidak diperbolehkan"
"'%value%' does not appear to be a valid local network name","%nilai%' tidak muncul menjadi URL yang valid hostname"
"* Required Fields","* Bidang yang dibutuhkan"
"A new password has been sent.","Kata sandi baru telah dikirim"
"ALL GROUPS","SEMUA GRUP"
"Account Dashboard","Akun papan instrument"
"Account Information","Informasi akun"
"Account Sharing Options","Pilihan akun berbagi"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Konfirmasi Account adalah diperlukan. Silakan, cek e-mail untuk link konfirmasi. Untuk mengirim ulang email konfirmasi silahkan href=""%s""> <a klik disini </ a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Konfirmasi Account adalah diperlukan. Silakan,periksa email Anda untuk link konfirmasi. Untuk mengirim ulang email konfirmasi silahkan href=""%s""> <a klik disini </ a>."
"Action","Aksi"
"Add New Address","Tambahkan alamat baru"
"Add New Customer","Tambahkan pelanggan baru"
"Add New Customer Group","Tambahkan grup pelanggan baru"
"Added From","Tambahkan dari"
"Additional Address Entries","Alamat Lainya"
"Address","Alamat"
"Address Book","Buku alamat"
"Address Books","Buku alamat"
"Address Information","Informasi alamat"
"Address Templates","template alamat"
"Addresses","Alamat"
"Admin","Admin"
"All","Semua"
"All Store Views","Tampilan semua toko"
"All countries","Semua negara"
"Always optional.","Selalu optimal"
"Amount","Jumlah"
"An error occurred while deleting the address.","error terjadi ketika menghapus alamat"
"An error occurred while retrieving the option value: %s.","error terjadi ketika menerima nilai baru: %s."
"An error occurred while saving the collection, aborting. Error: %s","Terjadi error saat menyimpan koleksi, membatalkan. kesalahan: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","ID pilihan tidak valid ditentukan untuk %s (%s), melewati catatan."
"Approved","Disetujui"
"Are you sure that you want to remove this item?","Apakah anda yakin bahwa anda akan menghapus item ini?"
"Are you sure you want to cancel adding of this address?","Apakah anda yakin ingin membatalkan penambahan alamat ini?"
"Are you sure you want to delete this address?","Apakah Anda yakin ingin menghapus alamat ini?"
"Are you sure?","Apakah Anda yakin?"
"Array of Entity collections is expected.","Array dari Koleksi entitas yang diharapkan."
"Assign a Customer Group","Menugaskan grup pelanggan"
"Average Sale","Rata-rata penjualan"
"Back","Kembali"
"Back - link to the previously viewed page","Kembali - tautan ke halaman sebelumnya dilihat"
"Back to Login","Kembali ke Login"
"Bad request.","Permintaan bermasalah"
"Bill to Name","Ditagihkan Kepada"
"Bought From","Dibeli Dari"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","""Dengan membuat account dengan toko kami, anda akan mampu bergerak melalui proses checkout cepat, menyimpan alamat pengiriman, melihat dan melacak pesanan Anda di akun Anda dan banyak lagi.Silakan Buat Akun Pelanggan. Belanja Anda menjadi lebih cepat dan praktis, pesanan Anda dapat dikirim ke alamat sesuai keinginan Anda,tersedia fitur tracking status pesanan Anda, dan berbagai kemudahan lainnya."
"CSV","CSV"
"Cancel","Batal"
"Cannot save address.","Tidak dapat menyimpan alamat:"
"Cannot save the customer.","Tidak dapat menyimpan pelanggan"
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Tidak dapat berbagi akun pelanggan secara global karena pelanggan beberapa akun dengan email yang sama ada di beberapa situs Web dan tidak dapat digabungkan."
"Change Account Password","ubah kata sandi akun"
"Change Billing Address","ubah alamat tagihan"
"Change Password","ubah kata sandi"
"Change Shipping Address","ubah alamat pengiriman"
"City","Kota"
"Company","Perusahaan"
"Config","Konfiguransi"
"Configure","Konfigurasi"
"Confirm New Password","Konfirmasi kata sandi baru"
"Confirm Password","Konfirmasi kata sandi"
"Confirmation Link Email","Konfirmasi tautan email"
"Confirmed","Di konfirmasi"
"Contact Information","Data Kontak"
"Continue Shopping","Belanja Lagi"
"Country","Negara"
"Create","Buat"
"Create New Account Options","Buat Opsi Akun Baru"
"Create New Customer Account","Buat Akun Pelanggan Baru"
"Create Order","Buat pembelian"
"Create an Account","Buat Akun"
"Create customer","Buat pelanggan"
"Create customer address","Buat alamat pelanggan baru"
"Current Password","Kata sandi saat ini"
"Customer","Pelanggan"
"Customer API","Pelanggan API"
"Customer Account Edit Form","Form sunting akun pelanggan"
"Customer Account Login Form","Form masuk akun pelanggan"
"Customer Account Logout Success","Akun pelanggan keluar sukses"
"Customer Account Registration Form","Form pendaftaran akun pelanggan"
"Customer Addresses","Alamat pelanggan"
"Customer Configuration","Konfigurasi pelanggan"
"Customer Forgot Password Form","Form lupa kata sandi pelanggan"
"Customer Group","Grup pelanggan"
"Customer Groups","Grup pelanggan"
"Customer Information","Informasi pelanggan"
"Customer Login","Masuk pelanggan"
"Customer My Account (All Pages)","Akun saya pelanggan (Semua halaman)"
"Customer My Account Address Book","Buku alamat akun saya pelanggan"
"Customer My Account Address Edit Form","Form sunting alamat  pelanggan akun saya"
"Customer My Account Dashboard","Panel Kontrol Pelanggan Akun saya."
"Customer Since","Pelanggan sejak"
"Customer View","Tampilan pelanggan'"
"Customer collection expected.","Koleksi yang diharapkan pelanggan"
"Customer email is required","Email Pelanggan dibutuhkan"
"Customer website ID must be specified when using the website scope","ID website pelanggan harus ditentukan ketika menggunakan lingkup website"
"Customer will stay on the current page if ""No"" is selected.","pelanggan yang akan tetap pada halaman saat ini jika ""Tidak"" dipilih."
"Customers","Pelanggan"
"Customers Only","Hanya pelanggan"
"Customers Section","Bagian Pelanggan"
"DD","DD"
"Date","Tanggal"
"Date Added","Tanggal ditambahkan"
"Date of Birth","Tanggal Lahir"
"Day","Hari"
"Days in Wishlist","Hari didaftar Keinginan"
"Default Addresses","Acuan Alamat"
"Default Billing Address","Acuan Alamat Penagihan"
"Default Email Domain","Domain Email Standar"
"Default Group","Grup Acuan"
"Default Shipping Address","Acuan Alamat Pengiriman"
"Default Welcome Email","Acuan Email selamat datang"
"Delete","Hapus"
"Delete Address","Hapus Alamat"
"Delete Customer","Hapus Pelanggan"
"Delete Customer Group","Hapus Kelompok Pelanggan"
"Delete customer","Hapus pelanggan"
"Delete customer address","Hapus alamat pelanggan"
"Deleted Stores","Hapus Toko"
"Details","Detil"
"Disabled","Tidak Aktif"
"Edit","Sunting"
"Edit Account Info","Sunting info akun"
"Edit Account Information","Sunting info akun"
"Edit Address","Sunting alamat"
"Edit Address Entry","Sunting Entri Alamat"
"Edit Customer Group ""%s""","Edit Group pelanggan""%s"""
"Edit Customer Groups","Sunting Kelompok Pelanggan"
"Edit Customer's Address","Sunting alamat Pelanggan"
"Edit Group","Sunting grup"
"Edit Newsletters","Sunting buletin"
"Email","Email"
"Email Address","Alamat email"
"Email Sender","Email pengirim"
"Email:","Email:"
"Entity collection is expected.","Koleksi entitas yang diharapkan."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Gagal untuk mengkonfirmasi akun pelanggan"
"Fax","Fax"
"First Name","Nama awal"
"Forgot Email Sender","Lupa Pengirim email"
"Forgot Email Template","Lupa template email"
"Forgot Your Password","Lupa kata sandi Anda"
"Forgot Your Password?","Lupa kata sandi anda?"
"Form Fields Before","Formulir Bidang Sebelumnya"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Dari panel Kontrol My account anda memiliki kemampuan untuk melihat sekilas tentang aktivitas rekening terakhir Anda dan memperbarui informasi akun Anda. Pilih link di bawah ini untuk melihat atau menyunting informasi"
"Gender","Gender"
"General Subscription","Berlangganan umum"
"Generate Human-Friendly Customer ID","Menghasilkan ID pelanggan yang ramah"
"Global","Global"
"Grand Total","Total keseluruhan"
"Group","Grup"
"Group Information","Informasi Grup"
"Group Name","Nama Grup"
"Guest","Tamu"
"HTML","HTML"
"Hello, %s!","Halo, %s!"
"ID","ID"
"IP Address","Alamat IP"
"If you have an account with us, please log in.","""Bila Anda sudah punya akun, silakan Masuk disini."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Pilihan tidak valid untuk atribut atribut yang ditetapkan %s (%s), lewati record."
"Invalid attribute set specified, skipping the record.","Atribut tidak valid ditetapkan, lewati record."
"Invalid current password","Kata kunci sekarang tidak valid"
"Invalid customer data","Data konsumen tidak valid"
"Invalid email address.","Alamat email tidak valid."
"Invalid login or password.","Masuk atau kata sandi tidak valid"
"Invalid store specified, skipping the record.","""Toko yang ditentukan tidak valid, lewati catatan."
"Last Activity","Aktifitas Terakhir"
"Last Date Subscribed","Tanggal berlangganan terakhir"
"Last Date Unsubscribed","Tanggal tidak berlangganan terakhir"
"Last Name","Nama Akhir"
"Last URL","URL akhir"
"Leave empty for default (15 minutes).","Biarkan kosong untuk standarnya(15 menit)."
"Leave empty for default (2). Valid range: 1-4","Biarkan kosong untuk acuan (2). Hari kisaran: 1-4"
"Lifetime Sales","Penjualan Sepanjang masa"
"Log In","Masuk"
"Log Out","Keluar"
"Login","Masuk"
"Login Information","Data Masuk"
"Login Options","Login Options"
"Login and password are required.","Login dan kata sandi dibutuhkan."
"Login or Create an Account","Masuk atau Buat Akun"
"MM","MM"
"Manage Addresses","Kelola Alamat"
"Manage Customers","Kelola Pelanggan"
"Missing email, skipping the record.","Email Hilang, Lewati record."
"Missing firstname, skipping the record.","Nama Awal hilang, Lewati record."
"Missing lastname, skipping the record.","Nama Akhir Hilang, Lewati record."
"Month","Bulan"
"My Account","Akun saya"
"My Account Wrapper","Pembungkus akun saya"
"My Dashboard","Dashboard saya"
"My Orders","Pesanan saya"
"Name","Nama"
"Name and Address Options","Nama dan pilihan alamat"
"Never","Tidak Pernah"
"New Address","Alamat Baru"
"New Address Entry","Entri Alamat Baru"
"New Customer","Pelanggan Baru"
"New Customer Address","Alamat Pelanggan Baru"
"New Customer Group","Kelompok Pelanggan Baru"
"New Customer Groups","Kelompok Pelanggan Baru"
"New Customers","Belum Punya Akun?"
"New Group","Grup Baru"
"New Password","Kata sandi baru"
"New account","Akun Baru"
"New account confirmation key","Kunci konfirmasi akun baru"
"New account confirmed","Akun baru dikonfirmasi"
"New password","Kata sandi baru"
"New password field cannot be empty.","Kolom kata sandi baru tidak boleh kosong."
"Newsletter","Buletin"
"Newsletter Finish","Buletin Selesai"
"Newsletter Information","Informasi Buletin"
"Newsletter Received","Buletin diterima"
"Newsletter Start","Buletin dimulai"
"Newsletter Subscription","Langganan Buletin"
"Newsletters","Buletin"
"No Items Found","Tidak ada item ditemukan"
"No Newsletter Found","Tidak ada buletin ditemukan"
"No customer collections found","Tidak ada koleksi pelanggan ditemukan"
"No item specified.","Tidak ada item ditentukan"
"Not Sent","Tidak dikirim"
"Not confirmed, can login","""Tidak dikonfirmasi, dapat masuk"
"Not confirmed, cannot login","""Tidak dikonfirmasi, tidak dapat masuk"
"Number of Lines in a Street Address ","Number of Lines in a Street Address "
"Offline","Offline"
"Online","Online"
"Online Customers","Pelanggan Online"
"Online Customers Options","Pilihan pelanggan Online"
"Online Minutes Interval","Interval menit online"
"Order #","Pembelian #"
"Order Total","Total Pembelian"
"Orders","Pembelian"
"PDF","PDF"
"Password","Kata sandi"
"Password Management","Atur kata sandi"
"Password Options","Pilihan kata sandi"
"Password forgotten","Lupa kata sandi"
"Password:","Password:"
"Paused","Dihentikan Sementara"
"Pending","Tunda"
"Per Website","Per situs"
"Personal Information","Informasi personal"
"Please enter your email below and we will send you a new password.","Silakan masukan email anda di bawah dan kami akan mengirim kata sandi baru"
"Please enter your email below and we\'ll send you confirmation link for it.","Silakan masukan email Anda di bawah ini dan kami akan mengirimkan tautan konfirmasi untuk itu."
"Please enter your email.","Silakan masukan email anda."
"Please select","Silakan pilih"
"Please select region, state or province","""Silahkan pilih wilayah, negara bagian atau provinsi"
