"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_kosong"">Link</a>"
"An error occurred while opening file: ""%s"".","Kesalahan muncul saat membuka file: ""%s""."
"Could not load file: ""%s"".","Tidak dapat memuat file: ""%s""."
"Could not save file: %s.","Tidak dapat menyimpan file: %s."
"Declared adapter %s was not found.","Menerangkan Adaptor %s Tidak ditemukan."
"Destination folder ""%s"" is not a directory.","Folder Tujuan ""%s"" bukan direktori."
"Destination folder ""%s"" is not writable.","Folder Tujuan ""%s"" tidak dapat ditulis."
"Done","Sudah"
"Dry run set, stopping execution.","Mengatur Kering, menghentikan eksekusi."
"ETA: %s","ETA: %s"
"Error in field mapping: field list for mapping is not defined.","Error pada field mapping: Daftar field untuk mapping tidak didefinisikan."
"File ""%s"" does not exist.","File ""%s"" tidak ada."
"Found %d rows.","ditemukan %d baris."
"Less than a minute","Kurang dari 1 menit"
"Loaded successfully: ""%s"".","Berhasil dimasukan: ""%s""."
"Memory Used: %s","Penggunaan Memori: %s"
"Method ""%s"" not defined in adapter %s.","Metode ""%s"" tidak didefinisikan pada adapter %s."
"Method ""%s"" was not defined in adapter %s.","Metode ""%s"" tidak didefinisikan dalam adapter %s."
"Please declare ""adapter"" and ""method"" nodes first.","Silahkan pertama menyatakan ""adapter"" dan ""metode""simpul."
"Processed records: %s","Memproses catatan: %s"
"Saved successfully: ""%s"" [%d byte(s)].","Berhasil disimpan: ""%s"" [%d byte(s)]."
"Sheet 1","Lembar 1"
"Skip undefined row.","Lewati baris tidak didefinisikan."
"Starting %s :: %s","Memulai %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","Folder yamg dituju ""%s"" tidak ada atau tidak ada akses untuk membuatnya."
"Total records: %s","Total catatan: %s"
"hour","Jam"
"hours","Jam"
"minute","Menit"
"minutes","Menit"
