"-- Please select --","-- Silahkan Pilih --"
"Allowed Currencies","Ijinkan mata uang"
"Base Currency","Mata uang dasar"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Mata uang dasr digunakan pada semua transaksi pembayaran online. Lingkup sudah didefinisikan oleh lingkup harga katalog (""katalog"" > ""Harga"" > ""Lingkup Harga Katalog"")."
"Cannot retrieve rate from %s.","Tidak dapat menerima tarif dari %s."
"Connection Timeout in Seconds","Koneksi terputus dalam beberapa detik"
"Continue &raquo;","Lanjut &raquo;"
"Country","Negara"
"Country API","Negara API"
"Country and Format Type combination should be unique","Negara dan Format Jenis kombinasi harus unik"
"Currency","Mata uang"
"Currency Options","Pilihan mata uang"
"Currency Setup","Pengaturan mata uang"
"Currency Update Warnings","Peringatan perbaruan mata uang"
"Default Display Currency","Tampilan standar mata uang"
"Directory","Direktori"
"Enabled","Aktif"
"Error Email Recipient","Penerima Email Error"
"Error Email Sender","Pengirim Email Error"
"Error Email Template","Template Email Error"
"FATAL ERROR:","KESALAHAN FATAL:"
"Frequency","Frekuensi"
"Installed Currencies","Mata uang yang terinstal"
"Invalid Import Service specified.","Spesifik layanan impor tidak valid."
"Invalid country code: %s","Kode negara tidak valid: %s"
"Invalid rates received","Kurs yang diterima Salah"
"Invalid target currency.","Invalid target currency."
"List of countries","Daftar negara"
"List of regions in specified country","Daftar wilayah dalam negara tertentu"
"Postal Code is Optional for the following countries","Kode Pos adalah opsional pada Negara - Negara dibawah ini"
"Region","Wilayah"
"Region API","Wilayah API"
"Scheduled Import Settings","Jadwal pengaturan impor"
"Select Your Currency","Pilih Kurs Anda"
"Service","Layanan"
"Start Time","Waktu mulai"
"State/Province","Negara bagian/Provinsi"
"Strikeiron Email Update Warnings","Peringatan Perbaruan Email Strikeiron"
"Unable to initialize the import model.","Tidak dapat mengenal model impor."
"Undefined rate from ""%s-%s"".","Tarif tidak didefinisikan dari ""%s-%s""."
"WARNING:","PERINGATAN:"
"Webservicex","Webservicex"
"Your current currency is: %s","Mata uang anda sekarang: %s"
