"Add","Tambah"
"Add gift message for shopping cart","Tambah pesan hadiah untuk cart"
"Add gift messages for quote item of shopping cart","Tambahkan pesan hadiah untuk barang kutipan cart"
"Add gift messages to products of shopping cart","Tambahakan pesan hadiah untuk produk dari cart"
"Add gift options","Tambahkan pilihan hadiah"
"Add gift options for Individual Items","Tambahkan pilihan hadiah untuk barang individual"
"Add gift options for the Entire Order","Tambahkan pilihan hadiah untuk seluruh pesanan"
"Add gift options.","Tambahkan pilihan hadiah"
"Allow Gift Messages for Order Items","Ijinkan pesan hadiah untuk barang pesanan"
"Allow Gift Messages on Order Level","Ijinkan pesan hadiah pada level pesanan"
"An error occurred while saving the gift message.","An error occurred while saving the gift message."
"Are you sure?","Apakah anda yakin?"
"Cancel","Batal"
"Do you have any gift items in your order?","Apakah Anda memiliki barang hadiah apapun dalam pesanan Anda?"
"Edit","Sunting"
"From","Dari"
"Gift Message","Pesan Hadiah"
"Gift Message API","Pesan Hadiah API"
"Gift Options","Pilihan Hadiah"
"Gift Options for","Pilihan Hadiah untuk"
"Gift Options for Individual Items","Pilihan hadiah untuk barang individual"
"Gift Options for the Entire Order.","Pilihan Hadiah untuk seluruh pesanan"
"Gift Options for this address.","Pilihan hadiah untuk alamat ini."
"Item %d of %d","Barang %d dari %d"
"Message","Pesan"
"No","Tidak"
"OK","OK"
"Save Gift Message","Simpan pesan hadiah"
"The gift message has been removed","Pesan hadiah telah dihapus"
"The gift message has been saved","Pesan hadiah telah disimpan"
"The gift message has been saved.","pesan hadiah telah disimpan."
"To","Ke"
"Unknown entity type","Jenis entitas tidak diketahui"
"Use config","Gunakan konfig"
"Yes","ya"
"You can leave this box blank if you do not wish to add a gift message for the item.","Anda dapat meninggalkan Box kosong ini jika Anda tidak ingin menambahkan pesan hadiah untuk item tersebut."
"You can leave this box blank if you do not wish to add a gift message for this address.","Anda dapat meninggalkan Box kosong ini jika Anda tidak ingin menambahkan pesan hadiah untuk alamat tersebut."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Anda dapat meninggalkan Box kosong ini jika Anda tidak ingin menambahkan pesan hadiah untuk order keseluruhan."
