"(Make sure you keep it in a safe place.)","(Pastikan anda menyimpannya ditempat yang aman.)"
"(Optional. Leave blank for no prefix)","(Opsional.Biarkan kosong tanpa prefix)"
"(ver. %s)","(ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Jalur adisional di tambahkan setelah dasar URL untuk mengakses panel administratif Anda (con. admin, backend, control dll.)."
"Admin Path","Jalur Admin"
"After successfull installation please click the button below.","Setelah instalasi berhasil silahkan klik tombol dibawah ini."
"All packages were installed, click 'OK' to continue with installation.","All packages were installed, click 'OK' to continue with installation."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Sebagai alternatif Anda bisa mencoba 'Unduhan Manual dan Peningkatan' metode."
"Base URL","Dasar URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Sebelum Anda melanjutkan ke toko Anda, silakan membuat catatan dari kunci enkripsi Anda (Magento menggunakan untuk mengenkripsi password, kartu kredit dan lebih)."
"Check out our","Lihat kami"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Centang kotak ini jika tidak mungkin untuk secara otomatis memvalidasi Keamanan URL, misalnya jika otentikasi HTTP diperlukan."
"Check this box only if it is not possible to automatically validate the Base URL.","Check this box only if it is not possible to automatically validate the Base URL."
"Choose this if you would like to test frontend and backend functionality.","Pilih ini jika Anda ingin menguji fungsionalitas ujung depan dan dan ujung belakang."
"Configuration","Konsfigurasi"
"Confirm Password","Konfirmasi kata sandi"
"Connection","Koneksi"
"Continue","Lanjutkan"
"Continue After Manual Download","Lanjutkan setelah unduhan manual"
"Continue Full Download / SVN Installation","Lanjutkan unduhan penuh/ Instalasi SVN"
"Create Admin Account","Membuat akun admin"
"Currently this is the most stable state available for Magento packages.","Saat ini adalah keadaan paling stabil yang tersedia untuk paket Magento."
"Database","Basis data"
"Database Connection","Koneksi basis data"
"Database Name","Nama Basis data"
"Database Name cannot be empty.","Nama basis data tidak bisa kosong"
"Database Type","Database Type"
"Database connection error.","Koneksi basis data error."
"Database host","Host basis data"
"Database user name","Nama Pengguna Basis data"
"Database user password","Kata sandi pengguna Basis data"
"Default Currency","Mata Uang standar"
"Download","Unduh"
"Download Magento Core Modules and Updates","Unduh Magento Inti dan perbarui."
"Downloading and installing Magento, please wait...","Mengunduh dan menginstall Magento, silakan tunggu..."
"Email","Email"
"Email Address","Alamat email"
"Enable Charts","Aktifkan bagan"
"Enable this option if you want the charts to be displayed on Dashboard.","Aktifkan opsi ini jika Anda ingin bagan yang akan ditampilkan pada Dashboard."
"Enable this option only if you have SSL available.","Aktifkan pilihan ini jika anda memiliki ketersediaan SSL."
"Encryption Key","Kunci enkripsi."
"File System","Sistem FileFile"
