"%s Item(s)","%s Item"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Toko. Semua Hak Dilindungi."
"(Shift-)Click or drag to change value","(Shift-) Klik atau geser untuk merubah nilai"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Klik pada salah satu bagian waktu untuk meningkatkannya"
"- Hold mouse button on any of the above buttons for faster selection.","- Tahan tombol mouse pada salah satu tombol di atas untuk seleksi lebih cepat."
"- Use the %s buttons to select month","Gunakan tombol  %s untuk memilih bulan"
"- Use the %s, %s buttons to select year","Tahan tombol %s, %s untuk memilih tahun"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- atau klik dan drag untuk pilihan yang lebih cepat."
"-- Please Select --","-- Silakan pilih --"
"1 column","1 Kolom"
"2 columns with left bar","2 Kolom dengan bar kiri"
"2 columns with right bar","2 kolom dengan bar kanan"
"3 columns","3 Kolom"
"About the calendar","Mengenai Kalender"
"All Empty Layout Pages","Semua Tampilan kosong halaman"
"All One-Column Layout Pages","Semua tampilan halaman satu kolom"
"All Pages","Semua halaman"
"All Pages (Print Version)","Semua Halaman (versi cetak"
"All Three-Column Layout Pages","Semua tampilan tiga kolom halaman"
"All Two-Column Layout Pages (Left Column)","Semua tampilan dua kolom halaman (kolom kiri)"
"All Two-Column Layout Pages (Right Column)","Semua tampilan halaman dua kolom (Kolom kanan)"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","Klik <a href=""%s"">disini</a> jika tidak ada yang terjadi"
"Close","tutup"
"Close Window","Tutup Jendela"
"DHTML Date/Time Selector","DHTML Pemilih Tanggal/Waktu"
"Date selection:","Pilihan tanggal:"
"Default Description","Deskripsi standar"
"Default welcome msg!","Pesan selamat datang standar!"
"Display %s first","Tampilkan %s Pertama"
"Distributed under GNU LGPL. See %s for details.","Didistribusikan dibawah GNU LGPL. Lihat %s untuk rincian."
"Drag to move","Geser untuk memindahkan"
"Empty","Kosong"
"For latest version visit: %s","Untuk versi terbaru kunjungi: %s"
"Free Shipping on orders over 50$","Free Shipping on orders over 50$"
"Go Today","Pergi hari ini"
"Help Us to Keep Magento Healthy","Membantu kita untuk menjaga Magento Sehat"
"Interface Language","Bahasa Antarmuka"
"Items %s to %s of %s total","Barang %s ke %s dari %s total"
"JavaScript seem to be disabled in your browser.","JavaScript tampaknya dinonaktifkan pada browser Anda."
"Left Column","Kolom Kiri"
"Main Content Area","Area konten utama"
"Navigation Bar","Bar Navigasi"
"Next","Lanjut"
"Next month (hold for menu)","Bulan depan (Tahan untuk menu)"
"Next year (hold for menu)","Tahun depan (tahan untuk menu)"
"Page Bottom","Tombol Halaman"
"Page Footer","Halaman Footer"
"Page Header","Halaman Header"
"Page Top","Halaman atas"
"Page:","Halaman:"
"Prev. month (hold for menu)","Bulan sebelum nya (tahan untuk menu)"
"Prev. year (hold for menu)","Tahun sebelum nya ( tahan untuk menu)"
"Previous","sebelumnya"
"Redirecting...","Meneruskan..."
"Report All Bugs","Laporkan semua Bugs"
"Right Column","Kolom Kanan"
"Select Store","Pilih Toko"
"Select Store:","Pilih Toko:"
"Select date","Pilih tanggal"
"Show","Tampilkan"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ini adalah toko demo. Semua pembelian yang dilakukan pada toko ini akan diabaikan."
"Time selection:","Pilihan waktu:"
"Time:","Waktu:"
"Welcome, %s!","Selamat Datang, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Anda harus mengaktifkan JavaScript di browser Anda untuk memanfaatkan fungsi dari website ini."
"Your Language","Bahasa Anda"
"Your Language:","Bahasa anda:"
"per page","per halaman"
