"%s %s cycle.","%s %s Lingkaran."
"--Please Select--","--Silakan Pilih--"
"3D Secure Card Validation","Pengesahan Kartu Keamanan 3D"
"3D Secure Credit Card Validation","Pengesahan Kartu Kredit Keamanan 3D"
"<label>Make Check payable to:</label> %s","<label>Buat Check dapat dibayar ke:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","nilai diperlukan untuk Mode hidup. Mengacu pada perjanjian CardinalCommerce Anda. "
"Allow Initial Fee Failure","Memungkinkan Kegagalan Biaya Awal "
"An internal reference ID is required to save the payment profile.","ID referensi internal diperlukan untuk menyimpan profil pembayaran. "
"Auto Bill on Next Cycle","Tagihan otomatis pada siklus berikutnya"
"Automatically Invoice All Items","Faktur Otomatis Semua Item "
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Secara Otomatis jumlah saldo tagihan yang beredar dalam siklus penagihan berikutnya (jika ada pembayaran gagal)."
"Billing Agreement status is not set.","Status perjanjian tagihan belum diatur."
"Billing Amount","Jumlah Tagihan"
"Billing Frequency","Frekuensi Tagihan"
"Billing Period","Periode Tagihan"
"Billing Period Unit","Unit peiode tagihan"
"Billing period unit is not defined or wrong.","Unit Penagihan jangka waktu tidak ditentukan atau salah. "
"Cannot retrieve payment method instance.","Tidak dapat mengambil contoh metode pembayaran. "
"Cannot retrieve the payment info model object.","Tidak dapat mengambil objek informasi model pembayaran."
"Cannot retrieve the payment method model object.","Tidak dapat mengambil objek metode pembayaran model. "
"Card Verification Number","Kartu Verifikasi Nomor "
"Centinel API URL","Centinel API URL"
"Check / Money Order","Cek / Wesel"
"Credit Card Number","Nomor Kartu Kredit"
"Credit Card Number: xxxx-%s","Nomor kartu kredit: xxxx-%s"
"Credit Card Type","Jenis Kartu Kredit"
"Credit Card Type: %s","Jenis Kartu Kredit: %s"
"Credit Card Types","Jenis Kartu Kredit"
"Currency","Mata Uang"
"Currency code is undefined.","Kurs belum ditentukan."
"Customer ID is not set.","ID pelanggan belum diatur."
"Day","Hari"
"Debug Mode","Mode Debug"
"Enabled","Aktifkan"
"Expiration Date","Tanggal Kadaluarsa"
"Expiration Date: %s/%s","Tanggal Kadaluarsa: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Nama lengkap dari orang yang menerima produk atau layanan dibayar oleh pembayaran berulang. "
"Initial Fee","Biaya awal"
"Initial non-recurring payment amount due immediately upon profile creation.","Awal yang tidak berulang karena jumlah pembayaran segera setelah pembuatan profil. "
"Internal Reference ID","ID rujukan Internal"
"Issue Number","Nomor terbit"
"Make Check Payable to","Buat cek pembayaran ke"
"Make Check payable to:","Buat cek pembayaran ke:"
"Make Check payable to: %s","Buat cek pembayaran ke: %s"
"Maximum Billing Cycles","Siklus tagihan maksimum"
"Maximum Order Total","Total pesanan maksimum"
"Maximum Payment Failures","Pembayaran Maksimum Gagal"
"Maximum Trial Billing Cycles","Percobaan maksimum Billing Cycles"
"Merchant ID","ID Pedagang"
"Minimum Order Total","Total pesanan minimum"
"Month","Bulan"
"N/A","N/A"
"Name on Card","Nama pada Kartu"
"Name on the Card","Nama pada Kartu"
"Name on the Card: %s","Nama pada Kartu: %s"
"New Order Status","Status Order Baru"
"Number of billing periods that make up one billing cycle.","Jumlah periode tagihan yang membentuk satu Billing Cycle ."
"Overrides API URL that may be specified by a payment method.","Mengabaikan API URL yang dapat ditentukan dengan metode pembayaran."
"Password","Kata Sandi"
"Payment ID: %s","ID Pembayaran: %s"
"Payment Method","Metode Pembayaran"
"Payment Methods","Metode Pembayaran"
"Payment Methods Section","Bagian Metode Pembayaran"
"Payment Reference ID","Id rujukan pembayaran"
"Payment Services","Layanan Pembayaran"
"Payment from Applicable Countries","Pembayaran dari Negara Berlaku"
"Payment from Specific Countries","Pembayaran dari negara tertentu"
"Payment method code is not set.","Kode metode pembayaran belum diatur."
"Payment method code is undefined.","Kode metode pembayaran ditentukan."
"Payment profile is invalid:\n%s","Profil pembayaran tidak berlaku:\n%s"
"Period frequency is wrong.","Frekuensi periode salah."
"Processor ID","Processor ID"
"Purchase Order","Permintaan pembelian"
"Purchase Order Number","Nomor Pesanan Pembeli"
"Purchase Order Number:","Nomor Pesanan Pembeli:"
"Purchase Order Number: %s","Nomor Pesanan Pembeli: %s"
"Recurring Profile Start Date","Profil Berulang Tanggal Mulai"
"Recurring profile start date has invalid format.","Profil tanggal mulai Berulang memiliki format tidak valid. "
"Reference ID is not set.","ID Rujukan tidak ditetapkan. "
"Repeats %s time(s).","Pengulangan %s Waktu."
"Repeats until suspended or canceled.","Mengulangi sampai ditangguhkan atau dibatalkan. "
"Request Card Security Code","Permintaan Kartu Kode Keamanan "
"Saved CC","Simpan CC"
"Schedule Description","Keterangan Jadwal"
"Schedule description must be not empty.","Jadwal deskripsi harus tidak kosong."
"Send Check to","Kirim cek ke"
"Send Check to:","Kirim Cek ke:"
"Severe 3D Secure Card Validation","Validasi Kartu yang berat 3D Aman "
"Severe validation removes chargeback liability on merchant.","Validasi yang berat menghilangkan kewajiban tolak bayar pada pedagang. "
"Shipping Amount","Jumlah Pengiriman"
"Short description of the recurring payment. By default equals to the product name.","Deskripsi pendek dari pembayaran berkala. Secara standar sama dengan nama produk. "
"Sort Order","Urutkan Pesanan"
