"ALL","SEMUA"
"ANY","SETIAP"
"Add","Tambah"
"Apply","Terapkan"
"Conditions Combination","Kombinasi Kondisi"
"Description: %s","Deskripsi: %s"
"End Date should be greater than Start Date","Tanggal Akhir harus lebih besar dari Tanggal Mulai"
"Expire at: %s","Kadaluarsa pada: %s"
"FALSE","SALAH"
"If %s of these conditions are %s:","Jika kondisi %s adalah %s:"
"Invalid discount amount.","Jumlah diskon tidak valid."
"MATCHING ALL","PENCOCOKAN SEMUA"
"MATCHING ANY","COCOK"
"NOT MATCHING ALL","TIDAK COCOK SEMUA"
"NOT MATCHING ANY","TIDAK COCOK SATUPUN"
"Name: %s","Nama: %s"
"Open Chooser","Buka Pilihan"
"Perform following actions","Lakukan Aksi Berikut"
"Please choose a condition to add...","Tolong pilih sebuah kondisi untuk ditambahkan..."
"Please choose an action to add...","Tolong pilih sebuah aksi untuk ditambahkan..."
"Remove","Buang"
"Start at: %s","Dimulai pada: %s"
"TRUE","BENAR"
"by","Berdasarkan"
"contains","berisi"
"does not contain","tidak berisi"
"equals or greater than","sama dengan atau lebih besar"
"equals or less than","Sama atau kurang dari"
"greater than","lebih besar dari"
"is","adalah"
"is not","bukan"
"is not one of","bukan salah satu dari"
"is one of","adalah salah satu"
"less than","kurang dari"
"to","Sampai"
