"""%s"" coupon code is not valid.","""%s"" Kode kupon tidak valid."
"%s","%s"
"%s / %s rate:","%s / %s harga:"
"%s for %s","%s untuk %s"
"%s order(s) cannot be canceled","%s order tidak bisa dibatalkan"
"%s order(s) have been canceled.","%s order tidak bisa dibatalkan."
"%s order(s) have been put on hold.","%s order telah ditunda."
"%s order(s) have been released from holding status.","%s order telah dilepaskan dari Status memegang."
"%s order(s) were not put on hold.","%s order tidak ditunda."
"%s order(s) were not released from holding status.","%s order tidak dilepaskan dari status memegang."
"* - Enter custom price excluding tax","* - Masukan Harga khusus belum termasuk pajak"
"* - Enter custom price including tax","* - Masukan harga khusus sudah termasuk pajak"
"-- Please Select --","-- Silakan Pilih --"
"-- Please Select Billing Agreement--","-- Silakan Pilih Persetujuan Pembayaran--"
"About This Order:","Mengenai pesanan ini:"
"About This Profile:","Mengenai profil ini:"
"About Your Invoice","Mengenai faktur ini"
"About Your Order","Mengenai pesanan Anda"
"About Your Refund","Mengenai pembayaran kembali Anda"
"About Your Shipment","Mengenai pengiriman Anda"
"Accept Payment","Menerima Pembayaran"
"Accept or Deny Payment","Menerima atau menolak pembayaran"
"Account Information","Informasi akun"
"Action","Tindakan"
"Actions","Tindakan"
"Activate","Aktivasi"
"Active","Aktif"
"Add","Tambah"
"Add New Address","Tambahkan alamat baru"
"Add Order Comments","Tambah Komentar Pesanan"
"Add Package","Tambah Paket"
"Add Products","Tambah Produk"
"Add Selected Product(s) to Option","Tambahkan produk yan dipilih ke opsi"
"Add Selected Product(s) to Order","Tambahkan produk yang dipilih ke pesanan"
"Add Selected Product(s) to Package","Tambah Produk terpilih ke paket"
"Add To Order","Tambah ke pesanan"
"Add Tracking Number","Tambah nomor pelacakan"
"Add comment to order","Tambah komentar ke pesanan"
"Add new comment to shipment","Tambah komentar baru ke pengiriman"
"Add new tracking number","Tambah nomor pelacakan baru"
"Add to Cart","Tambah ke keranjang"
"Additional Product Info","Informasi tambahan produk"
"Address","Alamat"
"Address model is not defined.","Model alamat belum ditentukan."
"Adjustment Fee","Penyesuaian biaya"
"Adjustment Refund","penyesuaian pembayaran kembali"
"Agreement Information","informasi persetujuan"
"Allow Reorder","ijin pemesanan ulang"
"Amount","jumlah"
