"Add Recipient","Tambah Penerima"
"Allow for Guests","Perbolehkan Tamu"
"An invalid email address for recipient was entered.","Sebuah alamat email tidak valid bagi penerima yang dimasukkan."
"At least one recipient must be specified.","Setidaknya satu penerima harus ditentukan."
"Back","Kembali"
"Catalog Product Email to a Friend","Email Produk Katalog ke Teman"
"Email Address","Alamat Email"
"Email Address:","Alamat Email:"
"Email Templates","Email Template"
"Email to a Friend","Email ke teman"
"Email:","Email:"
"Enabled","Aktif"
"Invalid Sender Information","Informasi Pengirim tidak valid"
"Invalid sender email.","Pengirim email tidak valid."
"Limit Sending By","Batasi Pengiriman Dari"
"Max Products Sent in 1 Hour","Maksimal Produk Terkirim dalam 1 Jam"
"Max Recipients","Maksimal Penerima"
"Maximum %d email addresses allowed.","Maksimum %s alamat email yang diperbolehkan."
"Message:","Pesan:"
"Name","Nama"
"Name:","Nama:"
"No more than %d emails can be sent at a time.","Tidak lebih dari %d email dapat dikirim dalam satu waktu."
"Please define a correct Cookie instance.","Silahkan mendefinisikan contoh Cookie yang benar."
"Please define a correct Product instance.","Silahkan mendefinisikan contoh Produk yang benar."
"Please define the correct Sender information.","Silahkan mendefinisikan contoh pengirim informasi yang benar."
"Recipient:","Penerima:"
"Remove Email","Buang Email"
"Select Email Template","Pilih Email Template"
"Send Email","Kirim Email"
"Send product to a friend","kirim produk ke teman"
"Sender:","Pengirim:"
"Some emails were not sent.","Beberapa Email tidak terkiri."
"The link to a friend was sent.","link ke teman telah dikirim."
"The message cannot be empty.","Pesan tidak bisa kosong."
"The messages cannot be sent more than %d times in an hour","Pesan tidak dapat dikirim lebih dari %d kali dalam satu jam"
"The sender name cannot be empty.","Nama pengirim tidak bisa kosong."
"There were some problems with the data.","Ada beberapa masalah pada data."
"You have exceeded limit of %d sends in an hour","Anda telah melebihi batas %d pengiriman dalam satu jam"
