" for more information or ","Untuk informasi lebih lanjut atau"
"# of Items (and above)","# dari barang (dan diatas)"
"# of Items vs. Destination","# dari barang vs. Destinasi'"
"Allow Shipping to Multiple Addresses","Izinkan Pengiriman ke beberapa Alamat"" "
"An error occurred while import table rates.","Terjadi Error saat mengimpor bagan tarif."
"Calculate Handling Fee","Perhitungan Biaya Penanganan"
"Carrier:","Pembawa:"
"City","Kota"
"Close Window","Tutup jendela"
"Condition","Kondisi"
"Country","Negara"
"Date","Tanggal"
"Delivered on:","Dikirim pada:"
"Delivered to:","Dikirim ke:"
"Description","Deskripsi"
"Displayed Error Message","Menampilkan pesan Error"
"Enabled","Aktif"
"Error:","Error:"
"Export","Ekspor"
"Fixed","Tetap"
"Flat Rate","Biaya Tetap"
"Free Shipping","Pengiriman Gratis"
"Google Sitemap Section","Google Sitemap Section"
"Handling Fee","Biaya Penanganan"
"Import","Impor"
"Include Virtual Products in Price Calculation","Sertakan Produk Virtual di Perhitungan Harga"
"Info:","Info:"
"Invalid Table Rate code for type %s: %s","Bagan nilai tidak valid untuk jenis %s: %s"
"Invalid Table Rate code type: %s","Tipe kode tingkat daftar tidak valid: %s"
"Invalid Table Rates File Format","Format file tingkat daftar tidak valid"
"Local Time","waktu lokal"
"Location","Lokasi"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Kuantitas maksimum yang di ijinkan untuk mengirimkan ke berbagai alamat"
"Method Name","Nama metode"
"Minimum Order Amount","Jumlah pesanan minimum"
"N/A","N/A"
"None","Kosong"
"Options","Opsi"
"Order Subtotal (and above)","Subtotal Pembelian (dan lebih)"
"Origin","Asal"
"Per Order","Per Pembelian"
"Per Package","Per Paket"
"Percent","Persentasi"
"Price","Harga"
"Price vs. Destination","Harga vs. Tujuan"
"Region/State","Wilayah/Negara Bagian"
"Service Type:","Tipe Servis:"
"Ship to Applicable Countries","Mengirim ke Negara terkait"
"Ship to Specific Countries","Mengirim ke Negara tertentu"
"Shipment #","Pengiriman #"
"Shipment Tracking Popup","Shipment Tracking Popup"
"Shipped or billed on:","Dikirim atau ditagihkan pada:"
"Shipping Methods","Metode Pengiriman"
"Shipping Methods Section","Bagian metode pengiriman"
"Shipping Settings","Aturan Pengiriman"
"Shipping Settings Section","Bagian pengaturan pengiriman"
"Show Method if Not Applicable","Tampilkan Metode jika Tidak terkait"
"Signed by:","Ditandatangani oleh:"
"Sort Order","Jenis Order"
"Status:","Status:"
"Store Pickup","Pengambilan di Toko"
"Street Address","Alamat Jalan"
"Street Address Line 2","Alamat Jalan Jalur 2"
"Table Rates","Table Rates"
"The shipping module is not available for selected delivery country.","Modul pengiriman tidak tersedia untuk negara pengiriman yang dipilih."
"The shipping module is not available.","Modul pengiriman tidak tersedia."
"There is no tracking available for this shipment.","Tidak ada pelacakan untuk pengiriman ini."
"There is no tracking available.","Tidak ada pelacakan."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Metode pengiriman ini sedang tidak ada. Jika anda ingin mengirimkan dengan metode pengiriman ini, harap hubungi kami."
"This shipping method is not available, please specify ZIP-code","Metode pengiriman tidak tersedia, harap sebutkan kode ZIP"
"Title","Judul"
"Track:","Pelacak:"
"Tracking Information","Informasi pelacakan"
"Tracking Number:","Nomor Pelacakan."
"Tracking information is currently not available. Please ","Informasi pelacakan sedang tidak tersedia. Mohon"
"Tracking information is currently unavailable.","Informasi pelacakan sedang tidak tersedia. Mohon"
"Type","Tipe"
"Weight (and above)","Berat (dan lebih)"
"Weight vs. Destination","Berat vs. Tujuan"
"Weight:","Berat"
"ZIP/Postal Code","Kode Pos"
"contact us","kontak kami"
"email us at ","email us at "
