"# of Uses","# Penggunaan"
"<strong>Tag Name:</strong> %s","<strong>Nama Tag:</strong> %s"
"Action","Aksi"
"Add New Tag","Tambah Tag Baru"
"Add Tags","Tag!"
"Add Your Tags:","Tambahkan Tag:"
"Add to Cart","Beli"
"Add to Wishlist","Tambah Daftar keinginan"
"All Tags","Semua Tag"
"Approved","Disetujui"
"Are you sure you want to delete this tag?","Apakah anda yakin akan menghapus tag ini?"
"Are you sure you want to do this?","Apakah anda ingin melakukan ini?"
"Are you sure?","Apakah anda yakin?"
"Back","Kembali"
"Back to Tags List","Kembali ke Daftar Tag"
"Base Popularity","Popularitas dasar"
"Block Information","Informasi Blok"
"CSV","CSV"
"Catalog Product View","Katalog tampilan produk"
"Change status","Ubah status"
"Click on a tag to view your corresponding products.","Klik tag untuk melihat produk yang sesuai Anda."
"Country","Negara"
"Customer My Account My Tags List","Pelanggan Akun saya Daftar tag saya"
"Customer My Account Tag View","Pelanggan Akun saya Tampilan tag"
"Customer Since","Pelanggan sejak"
"Customers","Pelanggan"
"Customers Submitted this Tag","Pelanggan Dikirim Tag ini"
"Customers Tagged '%s'","Pelanggan ditag '%s'"
"Delete","Hapus"
"Delete Tag","Hapus tag"
"Disabled","Non aktif"
"Edit Tag '%s'","Sunting Tag '%s'"
"Email","Email"
"First Name","Nama Awal"
"General Information","Informasi Umum"
"Grid","Grid"
"ID","ID"
"Last Name","Nama Belakang"
"List","Daftar"
"Manage Tags","Kelola Tag"
"My Recent Tags","Tag Terbaru"
"My Tags","Produk yang Saya Tag"
"Name","Nama"
"New Tag","Tag Baru"
"No matches found.","pasangan tidak ditemukan"
"Other people marked this product with these tags:","Orang lain menandakan produk ini dengan tag:"
"Pending","Tunda"
"Pending Tags","Tag Tertunda"
"Popular","Populer"
"Popular Tags","Tag Populer"
"Price","Harga"
"Product Name","Nama Produk"
"Product SKU","SKU Produk"
"Product Tags","Tag Produk"
"Products","Produk"
"Products Tagged by Administrators","Produk ditag oleh Administrator"
"Products Tagged by Customers","Produk ditag oleh pelanggan"
"Products Tagged with '%s'","Produk diberi tag '%s'"
"Products tagged with '%s'","Produk diberi tag '%s'"
"Rebuild Tag aggregation data","Membangun kembali Tag agregasi data"
"SKU","SKU"
"Save Tag","Simpan Tag"
"Save and Continue Edit","Simpan dan lanjutkan sunting"
"Status","Status"
"Store View","Tampilan toko"
"Tag","Tag"
"Tag ""%s"" has already been added to the product.","Tag ""%s"" telah ditambahkan ke produk anda."
"Tag ""%s"" has been added to the product.","Tag ""%s"" telah ditambahkan ke produk anda."
"Tag ""%s"" has been rejected by administrator.","Tag ""%s"" telah ditolak oleh administrator."
"Tag Aggregation Data","Tag penggabungan data"
"Tag Name","Nama tag"
"Tagged Products List","Daftar produk ditag"
"Tags","Tag"
"Tags List (All Available)","Daftar tag  (semua tersedia)"
"Tags List Before","Daftar tag sebelum"
"Tags:","Tag:"
"Telephone","Telephone"
"The tag has been deleted.","Tag belum dihapus"
"There are no tags available.","Tidak ada tag yang tersedia."
"Unable to find any products tagged with '%s' in the current store","Tidak dapat menemukan produk dengan tag '% s' di toko saat ini"
"Unable to remove tag. Please, try again later.","Unable to remove tag. Please, try again later."
"Unable to save tag(s).","Tidak dapat menyimpan tag."
"Use spaces to separate tags. Use single quotes (') for phrases.","Gunakan spasi untuk memisahkan tag. Gunakan tanda kutip tunggal (') untuk frase."
"View All Tags","Lihat semua tag"
"View Customers","Lihat pelanggan"
"View Products","Lihat produk"
"XML","XML"
"You have not tagged any products yet.","Anda belum pernah memberikan tag."
"ZIP/Post Code","Kode Pos"
