"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - cocok dengan semua; 'xyz*' - sesuai dengan apapun yang dimulai pada 'xyz' dan tidak lebih dari %d."
"-- Please Select --"," -- Silakan pilih --"
"Add New Class","Tambah Kelas Baru"
"Add New Tax Rate","Tambah Tarif Pajak"
"Add New Tax Rule","Tambah Aturan Pajak Baru"
"After Discount","Setelah Diskon"
"An error occurred while deleting this rate.","Terjadi kesalahan saat menghapus tarif ini."
"An error occurred while deleting this rate. Incorrect rate ID.","Terjadi kesalahan saat menghapus tarif ini. Salah tarif ID."
"An error occurred while deleting this tax class.","Terjadi kesalahan saat menghapus golongan pajak ini."
"An error occurred while deleting this tax rule.","Terjadi kesalahan saat menghapus aturan pajak."
"An error occurred while saving this rate.","Sebuah kesalahan terjadi ketika menyimpan tarif ini."
"An error occurred while saving this tax class.","Terjadi kesalahan saat menyimpan golongan pajak."
"An error occurred while saving this tax class. A class with the same name already exists.","Terjadi kesalahan saat menyimpan golongan pajak. Sebuah golongan dengan nama yang sama sudah ada."
"An error occurred while saving this tax rule.","Terjadi kesalahan saat menyimpan aturan pajak."
"Apply Customer Tax","Menerapkan pajak pelanggan"
"Apply Discount On Prices","Menerapakan diskon pada harga"
"Apply Tax On","Terapkan pajak pada"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Menerapkan diskon pada harga termasuk pajak dihitung berdasarkan pada pajak toko, jika ""Menerapkan pajak setelah diskon"" dipilih."
"Are you sure you want to do this?","Apakah anda ingin melakukan ini?"
"Back","Kembali"
"Before Discount","Sebelum diskon"
"CSV","CSV"
"Calculation Settings","Pengaturan kalkulasi"
"Catalog Prices","Harga Katalog"
"Class Name","Nama Kelas"
"Code","Kode"
"Country","Negara"
"County","Negara"
"Custom price if available","Harga khusus jika tersedia"
"Customer Tax Class","Kelas Pajak Pelanggan"
"Customer Tax Class Information","Informasi Kelas Pajak Pelanggan"
"Customer Tax Classes","Kelas Pajak Pelanggan"
"Default Country","Standar Negara"
"Default Post Code","Standar Kode Pos"
"Default State","Standar Negara Bagian"
"Default Tax Destination Calculation","Kalkulasi Standar Pajak Tujuan"
"Delete Class","Hapus Kelas"
"Delete Rate","Hapus Tarif"
"Delete Rule","Hapus Aturan"
"Display Full Tax Summary","Tampilan ringkasan pajak penuh"
"Display Prices","Tampilan Harga"
"Display Product Prices In Catalog","Ta,pilam Harga Produk Pada Katalog"
"Display Shipping Amount","Tampilan Jumlah Pengiriman"
"Display Shipping Prices","Tampilan harga pengiriman"
"Display Subtotal","Tampilan Subtotal"
"Display Zero Tax Subtotal","Tampilan Nol Subtotal pajak"
"Edit Class","Sunting kelas"
"Edit Class '%s'","sunting kelas '%s'"
"Edit Rule","Sunting aturan"
"Edit Tax Rate","Sunting biaya pajak"
"Excel XML","Excel XML"
"Excl. Tax","Tidak termasuk pajak"
"Excl. Tax:","Tidak termasuk Pajak:"
"Excluding Tax","Diluar Pajak"
"Export Tax Rates","Biaya Ekspor Pajak"
"Grand Total (Excl. Tax)","Grand Total (Diluar pajak)"
"Grand Total (Excl.Tax)","Grand Total (Diluar Pajak)"
"Grand Total (Incl. Tax)","Grand Total (Termasuk Pajak)"
"Grand Total (Incl.Tax)","Grand Total (Termasuk Pajak)"
"Grand Total Excl. Tax","Grand Total Diluar Pajak"
"Grand Total Incl. Tax","Grand Total Termasuk Pajak"
"Import / Export Tax Rates","Biaya Impor / Ekspor Pajak"
"Import Tax Rates","Biaya Impor Pajak"
"Inc. Tax","Termasuk Pajak"
"Incl. Tax","Termasuk Pajak"
"Incl. Tax:","Termasuk Pajak:"
"Include Tax In Grand Total","Termasuk Pajak Dalam Grand Total"
"Including Tax","Termasuk Pajak"
"Including and Excluding Tax","Termasuk dan diluar pajak"
"Invalid file format upload attempt","Mencoba mengunggah file dengan format yang tidak valid"
"Invalid file upload attempt","Mencoba mengunggah file yang tidak valid"
"Manage Customer Tax Classes","Kelola Kelas Pajak Pelanggan"
"Manage Product Tax Classes","Kelola Kelas Pajak Produk"
"Manage Tax Rates","Kelola Biaya Pajak"
"Manage Tax Rules","Kelola Aturan Pajak"
"Manage Tax Zones & Rates","Kelola zona pajak & tarif"
"Name","Nama"
"New Class","Kelas Baru"
"New Rule","Aturan Baru"
"New Tax Rate","Biaya Pajak Baru"
"No","No"
"None","Tidak satupun"
"One of the country has invalid code.","Salah satu negara mempunyai kode tidak valid"
"Orders, Invoices, Creditmemos Display Settings","Pesanan, Faktur, Pengaturan tampilan memokredit"
"Original price only","Hanya harga original"
"Price Display Settings","Price Display Settings"
"Priority","Prioritas"
"Product Tax Class","Kelas Pajak Produk"
"Product Tax Class Information","Informasi Kelas Pajak Produk"
"Product Tax Classes","Kelas Pajak Produk"
"Range From","Berkisar dari"
"Range To","Berkisar pada"
"Rate","Tarif"
"Rate Percent","Persentasi Tarif"
"Reset","Set ulang"
"Row Total","Row Total"
"Sales","Penjualan"
"Save Class","Simpan Kelas"
"Save Rate","Simpan  Biaya"
"Save Rule","Simpan Aturan"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Shipping & Handling (Excl.Tax)","Pengiriman & Penanganan (Diluar Pajak)"
"Shipping & Handling (Incl.Tax)","Pengiriman & Penanganan (Termasuk Pajak)"
"Shipping (Excl. Tax)","Pengiriman (Diluar Pajak)"
"Shipping (Incl. Tax)","Pengiriman (Termasuk Pajak)"
"Shipping Excl. Tax (%s)","Pengiriman diluar Pajak (%s)"
"Shipping Incl. Tax (%s)","Pengiriman Termasuk Pajak (%s)"
"Shipping Prices","Harga Pengiriman"
"Shopping Cart Display Settings","Pengaturan Tampilan Cart belanja"
"Sort Order","Jenis pesanan"
"State","Negara Bagian"
"State/Region","Negara Bagian/Wilayah"
"Subtotal (Excl. Tax)","Subtotal (Diluar Pajak)"
"Subtotal (Excl.Tax)","Subtotal (Diluar Pajak)"
"Subtotal (Incl. Tax)","Subtotal (Termasuk Pajak)"
"Subtotal (Incl.Tax)","Subtotal (Termasuk Pajak)"
"Tax","Pajak"
"Tax Calculation Based On","Kalkulasi Pajak Berdasarkan pada"
"Tax Calculation Method Based On","Metode kalkusi pajak berdasarkan pada"
"Tax Class for Shipping","Kelas pajak untuk pengiriman"
"Tax Classes","Kelas pajak"
"Tax Identifier","Pengenal pajak"
"Tax Rate","Biaya Pajak"
"Tax Rate Information","Informasi Biaya Pajak"
"Tax Rule Information","Informasi Biaya Pajak"
"Tax Rules","Aturan Pajak"
"Tax Section","Bagian pajak"
"Tax Titles","Judul pajak"
"Tax rate cannot be removed. It exists in tax rule","Tarif pajak tidak dapat dihapus. Ini ada dalam aturan pajak"
"Tax rates at the same priority are added, others are compounded.","Tarif pajak pada prioritas yang sama ditambahkan, yang lain ditambah."
"The tax class has been deleted.","Kelas pajak telah dihapus."
"The tax class has been saved.","Kelas pajak telah disimpan."
"The tax rate has been deleted.","Kelas pajak telah dihapus."
"The tax rate has been imported.","Kelas pajak telah diimpor"
"The tax rate has been saved.","Kelas pajak telah disimpan."
"The tax rule has been deleted.","Aturan pajak telah dihapus."
"The tax rule has been saved.","Aturan pajak telah disimpan."
"This class no longer exists","Kelas ini tidak ada"
"This rule no longer exists","Aturan ini tidak ada"
"This rule no longer exists.","Aturan ini tidak ada"
"Total","Total"
"Unit Price","Harga unit"
"Whether catalog prices entered by admin include tax.","Baik harga katalog yang dimasukan oleh admin sudah termasuk pajak."
"Whether shipping amounts entered by admin or obtained from gateways include tax.","Baik jumlah pengiriman yang dimasukan oleh admin atau diperoleh dari gateway sudah termasuk pajak."
"Yes","Ya"
