"All Websites","Semua situs"
"Apply Discounts To FPT","Terapkan diskon ke FPT"
"Apply Tax To FPT","Terapkan Pajak untuk FPT"
"Display Prices In Emails","Tampilkan harga pada email"
"Display Prices In Product Lists","Tampilkan harga pada daftar produk"
"Display Prices In Sales Modules","Tampilkan harga pada modul penjualan"
"Display Prices On Product View Page","Tampilkan harga pada Halaman tampilan produk"
"Enable FPT","Aktifkan FPT"
"Excluding FPT","Tidak Termasuk FPT"
"Excluding FPT, FPT description, final price","Tidak Termasuk FPT, Deskripsi FPT, Harga akhir"
"Fixed Product Tax","Pajak produk tetap"
"Fixed Product Taxes","Pajaka produk tetap"
"Include FPT In Subtotal","Termasuk FPT dalam Subtotal"
"Including FPT and FPT description","Termasuk gamabaran FPT dan FPT"
"Including FPT and FPT description [incl. FPT VAT]","Termasuk FPT dan deskripsi FPT [termasuk. FPT VAT]"
"Including FPT only","Termasuk hanya FPT"
"Total","Total"
"Total Incl. Tax","Total termasuk pajak"
"Total incl. tax","Total termasuk pajak"
