"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s telah ditambahkan ke wishlist Anda. Klik <a href=""%2$s"">disini</a> untuk melanjutkan belanja"
"%1$s has been updated in your wishlist.","%1$s Telah diperbarui ke wishlist Anda."
"%d product(s) have been added to shopping cart: %s.","%d produk telah ditambahkan ke Cart belanja: %s."
"%s for ""%s"".","%s untuk""%s""."
"%s's Wishlist","%s's wishlist"
"* Required Fields","* Dibutuhkan bidang"
"Add All to Cart","Tambah semua ke keranjang"
"Add to Cart","Tambah ke keranjang"
"Add to Compare","Tambah untuk membandingkan"
"Add to Wishlist","Tambah ke wishlist"
"Added From","Ditambahkan dari"
"Added On","Ditambahkan pada"
"An error occurred while adding item to wishlist.","Error terjadi ketika menambahkan barang ke wishlist."
"An error occurred while adding item to wishlist: %s","Error terjadi ketika menambahkan barang ke wishlist.: %s"
"An error occurred while deleting the item from wishlist.","Error terjadi ketika menghapus barang dari wishlist."
"An error occurred while deleting the item from wishlist: %s","Error terjadi ketika menghapus barang dari wishlist.: %s"
"An error occurred while updating wishlist.","Error terjadi ketika memperbarui wishlist"
"Are you sure you want to remove this product from your wishlist?","Apakah Anda yakin ingin menghapus produk ini dari wishlist Anda?"
"Are you sure you would like to remove this item from the wishlist?","Apakah Anda yakin ingin menghapus produk ini dari wishlist Anda?"
"Back","Kembali"
"Can\'t delete item from wishlist","Tidak/dapat menghapus item dari wishlist"
"Can\'t save description %s","Tidak/dapat menyimpan deskripsi %s"
"Can\'t update wishlist","Tidak/ Dapat memperbarui wishlist"
"Cannot add item to shopping cart","Tidak dapat menambah item ke Cart belanja"
"Cannot add the item to shopping cart.","Tidak dapat menambah item ke Cart belanja"
"Cannot configure product","Tidak dapat mengkonfigurasi produk"
"Cannot create wishlist.","Tidak dapat membuat wishlist"
"Cannot load wishlist item","Tidak dapat memuat item wishlist"
"Cannot specify product.","Tidak dapat menentukan produk"
"Cannot specify wishlist item.","Tidak dapat menentukan item wishlist"
"Cannot specify wishlist.","Tidak dapat menentukan wishlist."
"Cannot update wishlist","Tidak dapat memperbarui wishlist."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Periksa kotak centang ini jika Anda ingin menambahkan sebuah link ke feed rss ke wishlist Anda"
"Click for price","Klik Untuk Harga"
"Comment","Komentar"
"Comment:","Komentar:"
"Configure Wishlist Item","Mengkonfigurasi Item Daftar Wishlist"
"Configured Price:","Mengkonfigurasi Harga:"
"Customer My Account My Wishlist","Pelanggan Akun saya wishlist saya"
"Customer My Account Wishlist Sharing Form","Pelanggan wishlist akun saya berbagi dari"
"Customer Shared Wishlist View","Pelanggan berbagi tampilan wishlist"
"Date Added","Tanggal ditambahkan"
"Days in Wishlist","Hari dalam wishlist"
"Display Wishlist Summary","Tampilkan Ringkasan wishlist"
"Edit","Sunting"
"Email Sender","Email pengirim"
"Email Template","template Email"
"Email address can\'t be empty.","Alamat email bisa/tidak bisa kosong"
"Email addresses, separated by commas","Alamat Email, dipisahkan oleh koma"
"Enabled","Aktif"
"General Options","Pilihan umum"
"Go to Wishlist","Pergi ke wishlist"
"Helper for wishlist options rendering doesn't implement required interface.","Bantuan untuk penyerahan wishlist opsi tidak mengimplementasikan antarmuka yang diperlukan."
"Last Added Items","Barang yang ditambahkan terakhir"
"Message","Pesan"
"My Wishlist","wishlist saya"
"My Wishlist (%d item)","wishlist saya (%d item)"
"My Wishlist (%d items)","wishlist saya(%d items)"
"My Wishlist <small>(%d)</small>","wishlist saya<small>(%d)</small>"
"My Wishlist Link","Tautan wishlist saya"
"Options Details","Detil pilihan"
"Out of stock","Habis"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Silakan masukan alamat email yang berlaku, dipisahkan oleh koma. Sebagai contoh :johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","Silakan masukan alamat email yang berlaku:"
"Please, enter your comments...","Silakan,masukan komentar Anda..."
"Product","Produk"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Produk %s memiliki pilihan yang diperlukan. Masing-masing dapat ditambahkan ke keranjang secara terpisah saja."
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","Tautan RSS ke daftar keingingan %s"
"Remove Item","Barang dibuang"
"Remove This Item","Hapus Item ini"
"Remove item","Hapus item"
"Share Options","Opsi berbagi"
"Share Wishlist","Berbagi wishlist"
"Share Your Wishlist","Berbagi wishlist Anda"
"Sharing Information","Berbagi informasi"
"This product(s) is currently out of stock","Produk ini sekarang habis"
"Unable to add the following product(s) to shopping cart: %s.","Tidak dapat menambahkan produk ke Cart belanja berikut: %s."
"Update Wishlist","Perbaruan wishlist"
"User description","Deskripsi pengguna"
"View Details","Lihat detil"
"View Product","Lihat produk"
"What's this?","Apa ini?"
"Wishlist","Wishlist"
"Wishlist Section","Bagian wishlist"
"Wishlist Sharing","Berbagi wishlist"
"Wishlist is empty now.","wishlist Anda kosong."
"You have no items in your wishlist.","wishlist Anda masih kosong."
"Your Wishlist has been shared.","Wishlist Anda telah dibagi."
